Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,dept
,(Dearborn) in Doctor of Philosophy in Computer and Information Science,,,,,Doctoral,Fall 2026,,,,,,GRE,REQUIRED,,,,True,True,True,True,True,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Data Management and Analytics', 'Networks and Security', 'Software Engineering and Systems']","The Doctor of Philosophy (Ph.D.) degree in Computer and Information Science (CIS) is a research-based degree program. The program strengthens the research skills of qualified students in the areas of computer and information science. A student in the doctoral program works closely with a faculty advisor to develop and conduct original and innovative research. The CIS Ph.D. program prepares students for careers in academia and industrial research. The CIS Ph.D. program fosters an environment that supports close collaborations among faculty and students to conduct cutting edge research, and develop innovative systems and technologies.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,61.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Doctor of Engineering in Automotive Systems and Mobility,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"The Doctor of Engineering (D.Eng.) in Automotive Systems and Mobility is an innovative degree for practicing engineers and those aspiring to leadership positions. The D.Eng. program will address the significant talent gap identified by industry, and its curriculum focuses on the industry’s greatest challenges—connectivity, autonomy, sharing, and electrification. D.Eng. students will work closely with UM-Dearborn’s world-class faculty and industry leaders to find solutions to automotive research problems and to create new knowledge in the field. The program is part-time, with most courses being offered in a hybrid format, allowing D.Eng. students to earn the degree without disrupting their careers.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,60.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,"(Dearborn) in Doctor of Philosophy in Electrical, Electronics, and Computer Engineering",,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Computer Engineering', 'Control Systems', 'Digital Signal Processing', 'Robotics and Machine Intelligence']","The Doctor of Philosophy (Ph.D.) in Electrical and Computer Engineering is a research-oriented doctoral degree. The program is designed for students with a bachelor's or master's degree in Electrical Engineering, Computer Engineering, or a related field. The ECE Ph.D. program provides an environment for high-quality, cutting-edge research to prepare graduates for positions in research and development in industry, government, and academia. The program emphasizes both the theoretical and experimental aspects of Electrical and Computer Engineering. Students in the ECE Ph.D. program can pursue research in the following areas: Computer Engineering; Control Systems; Digital Signal Processing; and Robotics and Machine Intelligence.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Doctor of Philosophy in Industrial and Systems Engineering,,,,,Doctoral,Fall 2026,,,,,,GRE,REQUIRED,,,,True,True,True,False,True,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"Human Factors and Ergonomics, Integrated Design and Manufacturing, Operations Research and Management, Quality and Reliability Engineering, Supply Chain Management","The Ph.D. degree in Industrial and Systems Engineering (ISE) is a research-based doctoral degree program. The primary objective of the program is to develop highly qualified graduates who are capable of conducting independent and original research and are prepared to be leaders in academia, industry or government. Students accepted into this program are expected to develop a strong command over the analytical and technical skills in various aspects of industrial and systems engineering. The program requires formal coursework in advanced topics, a qualifying examination, a preliminary examination and the submission and defense of a doctoral dissertation. The dissertation must be an original and independent investigation of a significant problem in the field of industrial and systems engineering.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,A minimum of 155 is recommended on the quantitative section,6.5,,,68.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Doctor of Philosophy in Mechanical Sciences and Engineering,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"Advanced Manufacturing and Materials, Automotive Engineering, Biomechanics, Thermal and Fluid Sciences",The Doctor of Philosophy in Mechanical Sciences and Engineering (MSE) degree program is designed to provide students with the educational background needed to handle the challenges of a career in engineering research and development or a career in university-level engineering education. The program is flexible and allows students to design a plan of study that reflects their research interests. Students must complete graduate level coursework and conduct significant independent research to develop a dissertation that represents an original contribution to the current body of knowledge in their chosen field of study.,,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Accounting,,,,,Graduate,Fall 2026,,,,,,Either,REQUIRED,,,,True,True,True,True,True,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"The Master of Science in Accounting (MSA) program provides students with the breadth and depth of knowledge needed for a successful career in the accounting profession. Designed for individuals with a bachelor's degree in accounting, the program also offers foundation business and accounting courses that enable students with non-accounting undergraduate degrees to transition into the program and the accounting profession. An MSA degree will satisfy the State of Michigan's 150-hour requirement for CPA licensure. Our MSA graduates have successful careers in public accounting, including the Big 4 firms, industry, and government. The program features small classes, an interactive learning environment, and a curriculum focused on the latest developments in accounting and business. Faculty are student-focused with outstanding academic credentials and extensive professional experience. Our MSA graduates have successful careers in public accounting (including the Big 4 firms), industry, and government. Program graduates who satisfy all of the State of Michigan's requirements for CPA licensure are prepared to sit for the CPA exam.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.","The College of Business is accredited by AACSB International—The Association to Advance Collegiate Schools of Business. AACSB-accreditation is the hallmark of excellence in business education and has been earned by less than 5 percent of the world's business programs. Today, there are over 700 AACSB-accredited business schools in over 50 countries. AACSB-accredited schools have the highest quality faculty, relevant and challenging curriculum, and provide educational and career opportunities that are not found at other business schools.",,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,60.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Applied and Computational Mathematics,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Computational Mathematics', 'Applied Statistics']","The Master of Science in Applied and Computational Mathematics (MS-ACM) program provides a solid foundation in the principles of applied mathematics and modeling along with the skills needed to develop and analyze complex models using up-to-date computational tools. The program combines a strong mathematical foundation with hands-on experience in modern computing, preparing students for careers in industry, business, government, and education, or further study in a Ph.D. program. The program emphasizes both breadth of application and depth of understanding. Through a tailored curriculum, students will focus on an area of application that meets their personal career goals.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,60.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Artificial Intelligence,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"The Master of Science in Artificial Intelligence (MSAI) program will prepare students with the knowledge and skills necessary to be a leader in the field of Artificial Intelligence (AI). Students will develop a deep technical knowledge of AI including machine learning, deep learning, computer vision, natural language processing, intelligent agents, and their applications in areas such as autonomous systems, intelligent manufacturing, healthcare, and finance. The program offers a hands-on experience by completing a capstone project or a research-based thesis. Graduates of this program will be in high demand in the industry, government, and academia. The program offers a broad range of courses, a flexible structure and a strong focus on real-world applications to meet the career goals of its students. The curriculum is designed by our world-class faculty in collaboration with our industry partners to bridge the gap between academic and industrial needs.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,60.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Engineering in Automotive and Mobility Systems Engineering,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Automotive Systems Engineering', 'Mobility Systems Engineering']","The Master of Science in Engineering (M.S.E.) in Automotive and Mobility Systems Engineering (AMSE) program is an interdisciplinary program in the College of Engineering and Computer Science (CECS) at University of Michigan-Dearborn. The program is designed to be relevant to the needs of modern society and to provide students with a solid foundation in the automotive and mobility systems engineering field. The program emphasizes a systems engineering approach to provide students with the skills needed for successful careers, leadership, and life-long learning. The core courses provide an in-depth understanding of the critical areas in automotive and mobility systems engineering. The concentration and elective courses offer opportunities to pursue special topics of interest.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Engineering in Bioengineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,,,,,,,,,"['Biomechanics', 'Biomaterials & Biomedical Devices']","The Master of Science in Engineering (M.S.E.) in Bioengineering degree program provides students with a graduate education that is solidly based in engineering fundamentals while providing the breadth and depth in bioengineering needed by today's engineers. The program integrates a strong engineering curriculum with a life sciences foundation to prepare students for successful careers in bioengineering and related fields.

Students in the Bioengineering M.S.E. program choose one of two concentrations: Biomechanics or Biomaterials & Biomedical Devices. Each concentration provides in-depth education in specialized topics through a selection of courses tailored for that concentration. The concentrations share a core of engineering, mathematics, and life sciences courses.

The M.S.E. in Bioengineering program offers both a thesis and non-thesis option. All students are admitted into the non-thesis option and may apply for the thesis option after completing a minimum of 9 credit hours of graduate coursework with a grade point average of 3.5 or better.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Business Administration,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Accounting', 'Business Analytics', 'Finance', 'Human Resources Management', 'International Business', 'Marketing', 'Sales Management and Personal Selling', 'Supply Chain Management']","The College of Business MBA program prepares you to become a creative and effective leader in today's global economy. The curriculum is designed to provide you with the analytical and practical skills needed for success. It integrates the development of leadership abilities with a solid foundation in the functional areas of business. The MBA is a 36-45 credit hour program designed for working professionals who want to advance their careers. Courses are offered in the evenings on-campus, online, or a mix of both. Students are able to customize their degree with a variety of concentrations and dual-degree options. Our flexible program is designed to allow students to complete the MBA at their own pace. Our program emphasizes a participative and interactive learning environment. A strong focus on teamwork helps you develop the collaborative skills necessary for effective leadership. Our faculty integrate their research and real-world experience into the classroom, giving you relevant and applicable knowledge. Our small class sizes allow you to work closely with your peers and our faculty.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",The College of Business is accredited by AACSB International - The Association to Advance Collegiate Schools of Business.,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Business Analytics,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"Data is everywhere. In fact, 90 percent of the data in the world was generated in the last two years. While many companies have access to big data, they don't always have the talent to analyze and use that data to their advantage. We can help you become that talent. The University of Michigan-Dearborn's MS in Business Analytics program, a STEM-designated program, will provide you with the skills to enter the thriving field of big data. You'll learn the technology, tools, and techniques to collect, analyze, and interpret data so you can help businesses make better decisions. Your coursework is project-based, giving you the experience you need in quantitative analysis, data mining, multicultural marketing, predictive modeling, and more. You'll work with real-world data sets and graduate with a portfolio of projects that demonstrate your skills.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",The College of Business is accredited by AACSB International.,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,60.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Computer and Information Science,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Computer Science', 'Information Systems', 'Software Engineering']","The Master of Science in Computer and Information Science program is a graduate program designed to provide students with a strong background to pursue doctoral studies or a professional career in computer and information science and engineering. The program is broad enough to provide a solid background in a wide spectrum of the computer and information science field, and is also deep enough to allow students to focus on one of three concentrations. The concentrations are: Computer Science, Information Systems, and Software Engineering. In addition, the program allows a student to choose from a thesis or non-thesis project option.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Engineering in Computer Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Computer Architecture and Design', 'Intelligent Systems', 'Networks and Communications']","The Master of Science in Engineering (MSE) in Computer Engineering program at University of Michigan-Dearborn is designed for students who want to become leaders in their field. The program prepares students to apply computer engineering principles and practices to the design and implementation of modern computing systems. The MSE in Computer Engineering program is practice-oriented, emphasizing computer systems engineering. The curriculum includes advanced topics in embedded systems, computer architecture, computer networks, and robotics. Students can specialize in one of three concentrations: Computer Architecture and Design, Intelligent Systems, and Networks and Communications. The program provides the knowledge and skills necessary to advance in professional careers or to pursue doctoral studies.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,60.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Criminology and Criminal Justice,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"The Master of Science in Criminology and Criminal Justice (MS in CCJ) program is designed to provide students with a strong foundation in the social sciences in order to be competitive for positions in criminal justice and/or to pursue doctoral-level education. Students complete a rigorous core curriculum in criminological theory and criminal justice processes, research methods, and statistics. Students then have the opportunity to take specialized elective courses in subject areas such as policing, corrections, courts, juvenile justice, and victimization, as well as in other substantive areas of criminology and criminal justice.

The MS in CCJ program has three major objectives:

To provide a sound base of knowledge about the nature of crime, criminal justice systems, and related institutions of social control.
To promote theoretical understanding and critical assessment of the literature on criminology and criminal justice.
To develop the necessary skills for conducting and evaluating research in the areas of criminology and criminal justice.

The curriculum in the program is designed to create thinkers and leaders in the field of criminology and criminal justice. This means producing students who have a strong understanding of criminal justice systems, a strong understanding of criminological theory, and who can conduct high quality research in a field that desperately needs more high quality research. The program emphasizes theory and research, which will prepare students for leadership positions as well as for doctoral study in criminology and criminal justice.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Cybersecurity and Information Assurance,,,,,Graduate,Fall 2026,,,,,,GRE,REQUIRED,,,,True,True,True,True,True,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['All-course option', 'Thesis option']","The Master of Science in Cybersecurity and Information Assurance (MS-CIA) program is an advanced, technical, and challenging graduate program. The main objective of the MS-CIA program is to provide graduate students with the knowledge and skills necessary to pursue a successful career in cybersecurity and information assurance. This objective is achieved by providing students with advanced knowledge in cybersecurity and information assurance topics, and exposing them to the latest security tools and techniques. The program offers two tracks that allow students to focus their studies in areas of interest. The MS-CIA program may be completed online or on-campus.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,60.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Science in Data Science,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"Computational Track, Statistical Track","The Master of Science in Data Science is a 30-credit-hour graduate program that provides students with a solid foundation of data science, and in-depth knowledge of specific data science skills. The program is designed for students with diverse academic backgrounds who are either seeking to advance their careers or pursuing a higher degree in data-intensive disciplines.

The curriculum offers a balance of theory and practice. Students will learn core knowledge in data science, including data management, data mining, machine learning and cloud computing. In addition, students will have the opportunity to take a number of electives from several different departments, such as computer science, mathematics and statistics, industrial and systems engineering, business analytics, etc., to gain specific skills to help analyze data in a particular field. Students will also gain hands-on experience by completing data science-related projects, either as part of their coursework or in a dedicated capstone course. This will help students to develop critical thinking and problem-solving skills for their future careers. Graduates of the M.S. in Data Science program are well prepared to take on many challenges in data science and analytics across many different industries, including but not limited to automotive, finance, healthcare, manufacturing, and technology.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Doctor of Education,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"The Doctor of Education (Ed.D.) in the College of Education, Health, and Human Services is a professional practice doctorate designed to prepare discerning, scholarly practitioners for leadership roles in PK-12, higher education, and other organizational settings. The program is specifically designed to meet the needs of working professionals who wish to develop as leaders and to apply evidence-based and research-supported practices to solve complex problems in their professional contexts. Through a curriculum focused on leadership, equity, and inquiry and an embedded dissertation-in-practice, graduates will develop skills to apply research and theory to transform educational practice and to bring about systemic, equitable change in their organizations. The Ed.D. program is offered as a three-year cohort program, delivered in a hybrid format, to facilitate the success of working professionals.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Education Specialist,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,,,,,,,,,"Curriculum and Instruction, Educational Leadership, Special Education","The Education Specialist (Ed.S.) is a 30-credit hour post-master’s degree program for educators who wish to develop specialized knowledge in a particular area of study. Through the program, you can expand your professional skills and prepare for a career as a master teacher, school administrator, or other leadership role. You’ll complete a sequence of courses related to your professional goals and a final capstone or thesis project.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",The Educator Preparation Program at the University of Michigan-Dearborn is accredited by the Council for the Accreditation of Educator Preparation (CAEP).,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,(Dearborn) in Master of Arts in Education,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Curriculum and Instruction', 'Educational Technology', 'Reading/Literacy (K-12)', 'Special Education (Learning Disabilities or Emotional Impairment)', 'STEAM Education (Science, Technology, Engineering, Arts, and Mathematics)']","The Master of Arts in Education (MA) is a 30-credit hour advanced professional degree for certified teachers and other educators who want to strengthen their professional knowledge and skills. It is an advanced professional development program designed to provide you with the knowledge, skills, and dispositions to be an effective educator and leader. The program is specifically designed to meet the professional development needs of P-12 teachers who want to continue their education and increase their capacity as practitioners and teacher leaders. Our MA in Education helps you integrate theory and practice to make a difference in your classroom, your school, and the profession. Our faculty are experts in their fields and are experienced teachers. They have carefully designed a rigorous program of study that engages you in contemporary issues and best practices in the field of education. Our program has been recognized by U.S. News and World Report as one of the best online graduate education programs.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,65.0,,84.0,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
