Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level,error,level
"Applied Ecology, Climate Science, Environmental Health, Environmental Systems and Society, GIS and Technologies, Marine Biology, and Restoration Ecology","The Bachelor of Science in Environmental Science is an interdisciplinary program that allows students to study the environment from a variety of perspectives. The major provides a firm foundation in the natural sciences and includes a core of social sciences and humanities courses. Each student also completes a year-long senior practicum, working in a team on a real-world environmental project for a client.",https://www.ioes.ucla.edu/envisci/,,Bachelor of Science in Environmental Science,https://www.ioes.ucla.edu/envisci/how-to-declare-the-major/,,,
World Music,"The Ethnomusicology BA provides students with a broad-based education in ethnomusicology, focusing on the study of music as a social and cultural phenomenon. Students develop skills in musical performance and analysis while engaging with diverse musical traditions from around the globe. This concentration prepares students for a variety of careers in music, as well as for further study in ethnomusicology, musicology, and other related fields.",https://schoolofmusic.ucla.edu/academics/ethnomusicology/ethnomusicology-ba/,,Bachelor of Arts in Ethnomusicology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"French and Francophone Studies, German Studies, Italian Studies, Scandinavian Studies, European Studies","The Department of European Languages and Transcultural Studies (ELTS) offers a Bachelor of Arts degree in European Languages and Transcultural Studies with five concentrations: (1) French and Francophone Studies, (2) German Studies, (3) Italian Studies, (4) Scandinavian Studies, and (5) European Studies. The major is designed to provide students with a solid foundation in the languages, literatures, and cultures of Europe and the broader world shaped by European influence. The major offers students the opportunity to develop high-level proficiency in a European language while engaging with a diverse range of transcultural themes, including migration, colonialism, gender and sexuality, media, and environmental humanities. By exploring the complex histories and contemporary realities of European and transcultural contexts, students develop critical thinking, analytical, and communication skills that prepare them for a variety of careers in a globalized world.",https://elts.ucla.edu/undergraduate/majors/,,Bachelor of Arts in European Languages and Transcultural Studies,"http://us.51liucheng.com/niversity-of-california,-los-angeles-477/",,,
French and Francophone,"The major in European Languages and Transcultural Studies provides students with a foundation in one or more European languages and cultures. It is designed to provide students with a broad and deep understanding of the historical and cultural developments of Europe and its global impact. Through an interdisciplinary approach, students engage with literature, film, philosophy, and history to explore the complexities of European identities and their interactions with the rest of the world. Students select one of four sections: French and Francophone, German, Italian, or Scandinavian. The French and Francophone track provides students with a foundation in the French language and the diverse cultures and literatures of the French-speaking world, including France, Africa, the Caribbean, and North America.",https://elts.ucla.edu/undergraduate/majors-minors/european-languages-and-transcultural-studies-ba/french-and-francophone/,,Bachelor of Arts in European Languages and Transcultural Studies with French and Francophone,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
German,"The Department of European Languages and Transcultural Studies offers a major in European Languages and Transcultural Studies with five different concentrations: French and Francophone Studies, German, Italian, Scandinavian, and Transcultural Studies. The department's curriculum is designed to provide students with a deep understanding of the historical, social, and cultural contexts that have shaped European identities. Our programs are designed to help students develop high-level proficiency in a European language, as well as the critical thinking and analytical skills needed to succeed in a globalized world.",https://elts.ucla.edu,,Bachelor of Arts in European Languages and Transcultural Studies with German,https://admission.ucla.edu/apply/majors,,,
Italian Studies,"European Languages and Transcultural Studies (ELTS) is the result of a merger between the departments of French & Francophone Studies, Germanic Languages, Italian, and Scandinavian. ELTS students explore European cultures through an experimental, transdisciplinary lens. While focusing on a specific language (French, German, Italian, or Scandinavian), students are encouraged to seek out connections between their primary area of study and the rest of Europe and beyond. The curriculum for each concentration is designed around four pillars of study: Experimental Humanities, Medical Humanities, Environmental Humanities, and Urban Humanities.",https://elts.ucla.edu,,Bachelor of Arts in European Languages and Transcultural Studies with Italian,https://reslife.ucla.edu/major-blast/humanities,,,
Scandinavian,"The Department of European Languages and Transcultural Studies (ELTS) brings together UCLA’s distinguished programs in French, Germanic, Italian, and Scandinavian languages, literatures, and cultures. This union allows for a reimagining of our fields within a shared transcultural framework that addresses the complex history and the current state of Europe and its diverse global impact. The ELTS curriculum explores the intersections of language, literature, culture, and society, with an emphasis on interdisciplinary and transcultural perspectives. Students engage with a wide range of texts and media, from medieval manuscripts to contemporary film, and develop critical thinking, analytical, and communication skills. The European Languages and Transcultural Studies major is a single major with four tracks: French and Francophone Studies, German Studies, Italian Studies, and Scandinavian. Students must select one of the tracks.",https://elts.ucla.edu/undergraduate/majors-minors/european-languages-and-transcultural-studies-ba/,,Bachelor of Arts in European Languages and Transcultural Studies with Scandinavian,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Humanities, Social Thought, or Europe in the World","The European Studies major is an interdisciplinary program that allows students to study Europe from a variety of perspectives. Students choose a concentration in one of three areas: (1) Social Thought, (2) Humanities, or (3) Europe in the World. Within each concentration, students are encouraged to pursue their own interests by choosing from a wide range of courses in different departments.",https://international.ucla.edu/euro/major,,Bachelor of Arts in European Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"film production (directing or cinematography), screenwriting, animation or digital media","The Department of Film, Television and Digital Media (FTVDM) is one of the most prestigious programs in the world. Our mission is to educate the next generation of storytellers, scholars and leaders in the field. Undergraduate students take a variety of courses that provide them with a well-rounded education in the history, theory and practice of film, television and digital media. In their first two years, students focus on general education and lower-division requirements. In their junior and senior years, they dive into the major, taking courses in film history, theory and production. Seniors concentrate on an area of specialization such as film production (directing or cinematography), screenwriting, animation or digital media.",https://www.tft.ucla.edu/admissions/film-television-and-digital-media/,,Bachelor of Arts in Film and Television,https://www.tft.ucla.edu/admissions/film-television-and-digital-media/,,,
,"The Gender Studies major is an interdisciplinary program that examines the construction of gender and its intersection with other social categories such as race, class, ethnicity, and sexuality. Students explore how gendered experiences are shaped by history, culture, and power structures. The program is designed to give students a multi-disciplinary and rigorous understanding of the ways that gender and other categories of identity shape our world. Students will learn how to analyze and critique the structures of power that produce inequality and to imagine and work towards more just and equitable societies. The Department of Gender Studies at UCLA is a premier site for the study of women, gender, and sexuality, offering a broad, interdisciplinary program that explores the social and cultural construction of gender and the relationship between gender and other systems of power and difference.",https://genderstudies.ucla.edu/undergraduate/the-major/,,Bachelor of Arts in Gender Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"Geography is a diverse discipline that explores the relationship between people and their environments, and the patterns and processes of human and physical landscapes. Our undergraduate program provides students with a strong foundation in physical and human geography, as well as the spatial analysis tools (GIS, remote sensing) needed to address global challenges such as climate change, urbanization, and social inequality. The geography major is designed to provide students with a broad background in the field, while also allowing them to specialize in areas of interest through elective coursework.",https://geog.ucla.edu/undergraduate/majors-minors/geography-major/,,Bachelor of Arts in Geography,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Geography/Environmental Studies BA major is intended for students who wish to focus on environmental issues from a geographic perspective. It provides students with a strong background in the physical and social sciences and allows them to explore the complex relationships between humans and their environments. The major has the following learning outcomes: knowledge of geography and the environment as a field of study, including its history and subfields; ability to identify, explain, and evaluate the impacts of humans on the environment and of the environment on humans; application of research methods to analyze and interpret geographic and environmental data; use of geographic information systems (GIS), remote sensing, and other tools to represent and analyze geographic information; and application of critical thinking and communication skills to evaluate and communicate geographic and environmental information and issues.",https://geog.ucla.edu/undergraduate/majors-minors/geography-environmental-studies-major/,,Bachelor of Arts in Geography/Environmental Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Geology major is designed for students who intend to become professional geologists, or who wish to pursue graduate study in the geosciences. The program provides a broad background in the physical sciences and a thorough grounding in the principles of geology.",https://epss.ucla.edu/undergrad/geology/,,Bachelor of Science in Geology,https://itep.nau.edu/internships/past-interns/interns-2024-2023/,,,
Engineering Geology,"The Geology major is designed for students who want to study the Earth, its history, its materials, and the processes that shape it. The degree is based on a solid foundation in the basic sciences (math, physics, and chemistry) and a set of core Earth science courses. Students also have the opportunity to take advanced courses in a variety of topics, including geophysics, geochemistry, hydrology, environmental geology, and more. There are three possible tracks in the major: Geology, Engineering Geology, and Paleontology. The Engineering Geology track is for students who want to apply geological principles to civil engineering and environmental problems. It provides a solid background for students who want to work in the geotechnical industry or for government agencies that deal with geologic hazards, water resources, or environmental protection.",https://epss.ucla.edu/undergraduate/majors/geology/,,Bachelor of Science in Geology/Engineering Geology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Geophysics, Applied Geophysics, and Planetary Science","The Geophysics major is designed for students with an interest in the physics of the Earth and other planets. It provides a solid foundation in physics, mathematics, and geology, with specialized coursework in geophysics.",https://epss.ucla.edu/academics/undergraduate/majors/geophysics-bs/,,Bachelor of Science in Geophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Bachelor of Arts in Global Jazz Studies is an interdisciplinary major that aims to provide students with a deep understanding of jazz as a global art form. Combining music performance with scholarly inquiry, the curriculum focuses on jazz performance, history, and theory, while also considering jazz’s social, cultural, and political contexts.",https://schoolofmusic.ucla.edu/programs/global-jazz-studies/,The UCLA Herb Alpert School of Music is an accredited institutional member of the National Association of Schools of Music (NASM).,Bachelor of Arts in Global Jazz Studies,https://www.broadwayworld.com/studentcollege/University-of-California-Los-Angeles-School-of-Music,,,
Culture and Society; Governance and Conflict; Markets and Development,"The Global Studies Interdepartmental Program (IDP) offers a major for undergraduate students that provides a rigorous, interdisciplinary education on the processes of globalization. The curriculum is designed to give students a multifaceted understanding of the processes and impacts of globalization, focusing on the interplay of the local and the global across economic, political, social, and cultural dimensions. Students learn to think critically about complex issues such as global governance, culture and identity, development and inequality, and conflict and peace. The Global Studies major is a designated capstone major, requiring students to complete a year-long senior thesis project that explores a specific topic related to globalization.",https://www.globalstudies.ucla.edu/undergraduate/major/,,Bachelor of Arts in Global Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Greek major is designed for students who want to focus their undergraduate study on Greek language and literature. Students take courses in the language and literature of Ancient Greece, including Homer, the lyric poets, the dramatists, the historians, and the philosophers. They also take courses in Greek culture and history.",https://classics.ucla.edu/undergraduate/majors-minors/greek-major/,,Bachelor of Arts in Greek,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,The Greek and Latin major is designed to provide students with a comprehensive knowledge of the two major classical languages and literatures. It is particularly intended for students who wish to pursue graduate work in classics. Students should: acquire a broad knowledge of the classical world and its literature; demonstrate a high level of proficiency in Greek and Latin; read and analyze primary texts in Greek and Latin; communicate effectively in writing.,https://registrar.ucla.edu/academics/curricula-and-courses/classics/greek-and-latin-ba,,Bachelor of Arts in Greek and Latin,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Africa, Ancient History, Asia, Europe, Jewish History, Latin America, Middle East, Science and Technology, United States, and World History","The study of history is more than the study of the past; it is the study of ourselves in time. It provides a means for understanding the complex world in which we live and for developing the skills of critical thinking, research, and writing that are essential for success in any career.",https://history.ucla.edu/undergraduate/the-major/,,Bachelor of Arts in History,https://history.ucla.edu/academics/,,,
,"The Human Biology and Society B.A. and B.S. majors provide a holistic and interdisciplinary approach to the study of the biological and social dimensions of human health, medicine, and technology. Students in these majors explore how genetics, physiology, and evolution interact with social, cultural, and political factors to shape human lives. The curriculum integrates coursework from the life sciences, social sciences, and humanities, encouraging students to think critically about complex global challenges such as health disparities, environmental justice, and the ethics of biotechnology. The Human Biology and Society major is a designated capstone major. Students are required to complete a senior project that may be an individual or group research-based project, or a community-based internship and research project. The capstone allows students to integrate their prior coursework, use their knowledge to address a real-world problem, and develop professional and research skills.",https://registrar.ucla.edu/academics/curricula-and-courses/human-biology-and-society,,Bachelor of Arts in Human Biology and Society,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Human Biology and Society major provides a holistic approach to the study of the human condition, emphasizing the bridge between the life sciences and the humanities and social sciences. Students are trained in the fundamentals of genomics and medicine, and in the history, philosophy, and sociology of science and medicine. The program aims to prepare students for careers in medicine, public health, law, public policy, and many other fields. The major provides students with a rigorous interdisciplinary education that prepares them to address some of the most pressing issues of the 21st century by examining how human biology, health, and disease are shaped by social, historical, and cultural factors, and conversely, how scientific research and technology impact society.",https://socgen.ucla.edu/undergraduate-programs/human-biology-and-society/,,Bachelor of Science in Human Biology and Society,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BS,,
,"The Individual Field of Concentration major is intended for students who have a clear, well-defined academic goal that cannot be met by any of the existing majors in the College of Letters and Science. It is not a shortcut to a degree, but rather an opportunity for highly motivated students to create a unique and rigorous program of study. To be eligible to propose an individual major, students must have a grade-point average of 3.3 (B+) or better and have completed at least 45 but no more than 135 units. The proposed major must be comprised of at least 48 upper-division units and be supported by a faculty sponsor.",https://registrar.ucla.edu/academics/curriculum/individual-field-of-concentration,,Bachelor of Arts in Individual Field of Concentration,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BA,,
,"The Individual Field of Concentration major is designed for students who wish to pursue a course of study that is not provided by any of the regular departmental or interdepartmental majors. The major must be comprised of at least 12 upper-division courses (48 units) and must be unified by a clear thematic focus. Each student is required to submit a written proposal for the major, including a description of the field of study and the specific courses to be taken, and must obtain the sponsorship of a UCLA faculty member who agrees to serve as the major advisor. The proposal must be approved by the College Faculty Executive Committee.",https://registrar.ucla.edu/file/94cfd75a-a0a8-46f4-8ddb-0a937e56d776,,Bachelor of Science in Individual Field of Concentration,https://registrar.ucla.edu/file/94cfd75a-a0a8-46f4-8ddb-0a937e56d776,,,
,"The Iranian Studies major provides students with a strong foundation in the languages, literature, history, and culture of the Iranian world from antiquity to the present. Students take courses in Persian language, literature, and history, as well as courses in other Iranian languages and cultures. The program is designed to provide students with a broad and deep understanding of the Iranian world and to prepare them for graduate study or for careers in a variety of fields, including education, government service, journalism, and business.",https://nelc.ucla.edu/undergraduate/majors/iranian-studies-major/,,Bachelor of Arts in Iranian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Japanese major is designed for students who wish to acquire a high level of proficiency in the Japanese language and a deep understanding of Japanese culture, literature, and linguistics. The curriculum includes courses on modern and classical Japanese language, literature from the earliest times to the present, film, and linguistics. Many students in the major also participate in the Education Abroad Program (EAP) in Japan.",https://alc.ucla.edu/undergraduate/japanese-major/,,Bachelor of Arts in Japanese,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Jewish Studies major is an interdisciplinary program that allows students to focus on the history, culture, and languages of the Jewish people. It provides students with a broad knowledge of the Jewish experience from its origins to the present. The program provides a multi-disciplinary foundation in the history, languages, literature, and culture of the Jewish people from the biblical through the modern periods.",https://catalog.registrar.ucla.edu/majors/jewish-studies-ba,,Bachelor of Arts in Jewish Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Korean major is designed for students who want to focus on Korean language, literature, and culture. It provides students with a solid foundation in the Korean language and a broad understanding of Korean literature and culture. Students are encouraged to participate in the University’s Education Abroad Program (EAP) or a department-approved program in Korea. For further information, contact the department.",https://www.alc.ucla.edu/undergraduate/korean-major/,,Bachelor of Arts in Korean,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Labor Studies major provides students with the opportunity to explore the experiences of working people, the role of labor organizations, and the dynamics of the workplace. The program offers an interdisciplinary approach to the study of labor and the workplace, including the history of labor movements, the legal and political framework of industrial relations, the sociological and economic analysis of work, and the cultural representations of labor. Students learn to apply critical thinking and research skills to the study of work and labor, and to communicate their findings effectively.",https://laborstudies.ucla.edu/undergraduate-major-in-labor-studies/,,Bachelor of Arts in Labor Studies,https://economics.ucla.edu/wp-content/uploads/2020/10/Handbook.pdf,,,
,"The Latin major is designed for students who wish to focus on the study of the Latin language and literature. Students will develop proficiency in reading Latin and gain an understanding of Roman history, culture, and thought through the analysis of original texts. In addition to learning the language, students will also study Roman history and culture. This provides a broader context for their linguistic and literary studies. The Latin major is an excellent choice for students who are interested in pursuing careers in education, law, medicine, and many other fields.",https://classics.ucla.edu/undergraduate/majors/latin/,,Bachelor of Arts in Latin,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Arts and Humanities, Ecology and Environment, or Social Sciences","The Latin American Studies major is an interdisciplinary program that provides students with a broad and comprehensive knowledge of the region. Drawing on the resources of many departments and programs throughout the university, the major offers a flexible curriculum that allows students to tailor their studies to their interests and career goals. The program provides coursework that covers the history, cultures, and contemporary issues of the region and is designed to provide students with a comprehensive understanding of Latin America and to prepare them for careers in international business, government, non-profit organizations, education, and other fields.",https://international.ucla.edu/latinamerica/academic/undergraduate,,Bachelor of Arts in Latin American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"Linguistics is the scientific study of language. It is a diverse field that includes the study of the structure of language (syntax, phonology, and morphology), the study of meaning (semantics and pragmatics), and the study of how language is used in context. Linguists also study how languages change over time, how they are learned by children and adults, and how they are processed in the brain. The Linguistics major is designed to provide students with a strong foundation in the core areas of theoretical linguistics: phonetics, phonology, syntax, and semantics. Students also take elective courses in other areas of linguistics, such as psycholinguistics, sociolinguistics, historical linguistics, and language acquisition.",https://linguistics.ucla.edu/undergraduate/majors-and-minors/linguistics-major/,,Bachelor of Arts in Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Linguistics and Anthropology major is designed for students with an interest in both linguistics and anthropology and the ways in which they intersect. It includes a core of linguistics courses and a core of anthropology courses, with a focus on linguistic anthropology.",https://linguistics.ucla.edu/undergraduate/majors/linguistics-and-anthropology/,,Bachelor of Arts in Linguistics and Anthropology,https://www.quora.com/How-do-you-feel-about-people-that-think-theyre-super-smart-just-because-they-have-multiple-college-degrees-that-also-believe-for-a-person-to-have-any-intelligence-at-all-they-had-to-have-some-type-of-education,,,
"Chinese, Japanese, Korean, South Asian, or Southeast Asian","The Linguistics and Asian Languages and Cultures major is designed to provide students with a strong foundation in linguistics and a deep understanding of the structure, history, and usage of one or more Asian languages. It is particularly appropriate for students who wish to combine their interest in linguistics with a focus on a specific Asian language and culture. Students gain a solid foundation in linguistic theory while also developing proficiency in an Asian language and an understanding of the culture and literature associated with it. The major requires seven upper-division Linguistics courses and five upper-division courses in the Asian Languages and Cultures department.",https://linguistics.ucla.edu/undergraduate/majors-minors/linguistics-asian-languages-cultures-ba/,,Bachelor of Arts in Linguistics and Asian Languages and Cultures,http://www.qianmu.org/%E5%8A%A0%E5%B7%9E%E5%A4%A7%E5%AD%A6%E6%B4%9B%E6%9D%89%E7%9F%B6%E5%88%86%E6%A0%A1,,,
,"The Linguistics and Computer Science major is designed for students with an interest in both linguistics and computer science. Students obtain a strong foundation in the core areas of linguistics (phonetics, phonology, syntax, and semantics) and computer science (programming, data structures, and algorithms). The major also includes courses that explore the intersection of the two fields, such as computational linguistics and natural language processing.",https://linguistics.ucla.edu/undergraduate/majors-minors/linguistics-computer-science-ba/,,Bachelor of Arts in Linguistics and Computer Science,https://admission.ucla.edu/apply/majors,,,
,Bachelor of Arts in Linguistics and English: The Linguistics and English major is designed to provide students with a strong background in linguistics and a specialization in English. Students take courses in linguistics and English literature and language. All students are encouraged to select a faculty adviser to help them plan a program of study. The major has the following learning outcomes: understanding of why and how language is the object of scientific study; understanding of the structures and systems of English; critical analysis of literature and other cultural texts; ability to develop and support a thesis through analysis of evidence; and mastery of the conventions of academic writing.,https://catalog.registrar.ucla.edu/major/2024/LinguisticsandEnglishBA,,Bachelor of Arts in Linguistics and English,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Linguistics & Philosophy major is designed for students with a particular interest in the interface between these two disciplines. The linguistics portion of the major provides students with a solid foundation in the core areas of linguistic theory (phonology, syntax, and semantics). The philosophy portion of the major focuses on the philosophy of language and related areas of metaphysics, epistemology, and logic.",https://linguistics.ucla.edu/undergraduate/majors-and-minors/linguistics-philosophy-major/,,Bachelor of Arts in Linguistics and Philosophy,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,The Linguistics and Psychology major is an interdisciplinary major that combines the study of the structure of language with the study of the mind. It is intended for students who are interested in the ways in which language is represented and processed in the human mind and how it is acquired by children.,https://linguistics.ucla.edu/undergraduate/majors-minors/linguistics-psychology-major/,,Bachelor of Arts in Linguistics and Psychology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Linguistics and Spanish major is designed for students with a strong interest in the Spanish language. It provides students with a solid foundation in both the theoretical study of language (linguistics) and the study of the Spanish language, including its history, structure, and literature.",https://linguistics.ucla.edu/undergraduate/majors/linguistics-spanish/,,Bachelor of Arts in Linguistics and Spanish,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,The Marine Biology major is designed for students who wish to specialize in the biology of marine organisms and their ecosystems. It provides students with a broad background in biology and allows for specialization in specific areas of marine biology through elective coursework.,https://eeb.ucla.edu/undergraduate/majors/marine-biology/,,Bachelor of Science in Marine Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BS,,
,"The Materials Engineering major is a structured program that provides a broad base in the sciences and engineering, with a focus on the properties, processing, and application of materials. The program is designed to provide a broad-based foundation in the science and engineering of materials. It is intended to prepare students for a variety of careers in industry or for further study in graduate school. The program emphasizes the relationships between the structure, processing, properties, and performance of all classes of materials, including metals, ceramics, polymers, and electronic materials.",https://mse.ucla.edu/undergraduate-program/,"The Materials Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org, under the commission’s General Criteria and the Program Criteria for Materials, Metallurgical, Ceramics and Similarly Named Engineering Programs.",Bachelor of Science in Materials Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Financial Actuarial Mathematics major is designed for students interested in working in the actuarial profession or in a field of quantitative finance. It provides students with a strong mathematical foundation and introductory knowledge in the areas of finance, economics, and computing. This major is also intended to help students prepare for the first three or four actuarial exams.",https://catalog.registrar.ucla.edu/major/2025/FinancialActuarialMathematicsBS,,Bachelor of Science in Mathematics,https://catalog.registrar.ucla.edu/major/2025/FinancialActuarialMathematicsBS,,,
,"The Applied Mathematics major is intended for students who are interested in using mathematics to solve problems in the social and physical sciences. While the program’s core is composed of the standard courses in differential equations, modeling, and numerical analysis, it also allows students to select courses in areas such as engineering, physics, and economics.",https://ww3.math.ucla.edu/applied-mathematics-bs/,,"Bachelor of Science in Mathematics, Applied","The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Applied Mathematics, Medical and Life Sciences, and History of Science","The Mathematics/Applied Science major is designed for students who are interested in applications of mathematics to other areas. This major is not intended for students who are planning to do graduate work in mathematics. For those students, the Mathematics or Applied Mathematics major is more appropriate. This major offers 3 options: (1) Applied Mathematics, (2) Medical and Life Sciences, (3) History of Science.",https://ww3.math.ucla.edu/mathematics-applied-science-major/,,Bachelor of Science in Mathematics/Applied Science,https://ww3.math.ucla.edu/wp-content/uploads/2024/07/2024-2025-Undergraduate-Handbook-Department-of-Mathematics-for-Print.pdf,,,
,"The Mathematics/Economics major is designed to give students a solid foundation in both mathematics and economics, stressing those areas of mathematics that are most relevant to economics and the parts of economics that emphasize the use of mathematics. It is a rigorous program that provides students with the mathematical tools necessary for graduate study in economics and for careers in finance and other quantitative fields.",https://ww3.math.ucla.edu/mathematics-economics-bs/,,Bachelor of Science in Mathematics/Economics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Mathematics for Teaching major is designed for students who have a substantial interest in teaching mathematics at the secondary school level. This major provides students with a solid foundation in mathematics, including geometry, algebra, and analysis, as well as exposure to the pedagogical aspects of the subject. Students have the opportunity to participate in the Joint Mathematics/Education Program (JMEP), which allows them to complete their degree and begin work toward a California Single Subject Teaching Credential in mathematics while still an undergraduate.",https://ww3.math.ucla.edu/mathematics-for-teaching-major/,,Bachelor of Science in Mathematics for Teaching,https://ww3.math.ucla.edu/wp-content/uploads/2023/07/2023-2024-Undergraduate-Handbook-Department-of-Mathematics.pdf,,,
,The Mathematics of Computation major is designed for students who are interested in the application of mathematics to computer science and the use of computers in solving mathematical problems. It provides students with a solid foundation in mathematics and a substantial background in computer science.,https://ww3.math.ucla.edu/mathematics-of-computation-bs/,,Bachelor of Science in Mathematics of Computation,https://degrees.unm.edu/units/7430/,,,
,"The mechanical engineering program is designed to provide basic knowledge in thermodynamics, fluid mechanics, heat transfer, solid mechanics, mechanical design, and control systems, as well as to develop skills in using analytical, computational, and experimental methods for the solution of engineering problems. The program objectives for the mechanical engineering major are (1) to provide graduates with a solid foundation in engineering and basic sciences that will enable them to succeed in graduate school or in their careers in industry or government, (2) to provide graduates with the ability to design and build mechanical systems, and (3) to provide graduates with a broad education that will allow them to appreciate the impact of engineering solutions in a global and societal context.",https://www.mae.ucla.edu/mechanical-engineering-b-s/,"The mechanical engineering program is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",Bachelor of Science in Mechanical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Microbiology, Immunology, and Molecular Genetics major provides a broad educational background in microbiology, immunology, and molecular genetics. The program is designed to prepare students for graduate study in these and related fields, for admission to health professional schools, or for employment in the biotechnology industry, government, and academia.",https://catalog.registrar.ucla.edu/browse/Curricula-and-Courses/Microbiology-Immunology-and-Molecular-Genetics/Microbiology-Immunology-and-Molecular-Genetics-BS,,"Bachelor of Science in Microbiology, Immunology, and Molecular Genetics","The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"Middle Eastern Studies is a multi-disciplinary major designed for students who wish to study the region from a variety of perspectives, including history, politics and culture. This major is often pursued as a double major with other fields such as Political Science, History, or Anthropology. Middle Eastern Studies majors are required to take courses in at least two of the following areas: Anthropology, Art History, Economics, Ethnomusicology, Geography, History, Political Science, and Sociology.",https://nelc.ucla.edu/undergraduate/middle-eastern-studies/,,Bachelor of Arts in Middle Eastern Studies,https://nelc.ucla.edu/undergraduate/,,,
,"Molecular, Cell and Developmental Biology is a multifaceted discipline that examines how organisms function, from the level of individual molecules to the complex interactions within and between cells. It explores the mechanisms governing gene expression, cellular organization, and the intricate processes of development. Understanding these fundamental aspects is essential for addressing key challenges in medicine, agriculture, and environmental science. Research in this field is constantly evolving, driven by technological advancements that allow us to delve deeper into the mysteries of life. From studying the structure of proteins to unraveling the complexities of human development, Molecular, Cell and Developmental Biology offers a vast and fascinating landscape for exploration and discovery.",https://www.mcdb.ucla.edu/undergraduate/,,"Bachelor of Science in Molecular, Cell, and Developmental Biology",https://www.mcdb.ucla.edu/undergraduate/,,,
,"The composition program at UCLA provides a select group of students the opportunity to develop their creative voices through intensive study with a distinguished faculty. The curriculum is designed to provide a strong foundation in the craft of composition, including orchestration, counterpoint, and electronic music, while encouraging students to explore diverse aesthetic directions and interdisciplinary collaborations. The major includes courses in music theory, music history, performance, and individual composition lessons.",https://schoolofmusic.ucla.edu/academics/composition/,The Herb Alpert School of Music at UCLA is an accredited institutional member of the National Association of Schools of Music (NASM).,Bachelor of Music in Composition,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
