Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error,level
,"The economics B.A. program is designed to provide a broad understanding of the sourcing, allocation and use of resources in a variety of settings: business, non-profit, government and personal. The major gives students a strong foundation to grow and adapt in a rapidly changing world. Students learn the tools of the economics discipline, including critical thinking, problem solving and quantitative skills. The economics B.A. is excellent preparation for careers in law, business, government, and non-profit organizations. It is also great preparation for graduate programs including law school and M.B.A. programs, among others.",https://economics.ucsd.edu/undergraduate-program/majors-and-minors/economics-ba.html,,,Economics (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The B.S. in economics is a focused, quantitatively-based curriculum that is intended for students who wish to pursue a career as an economist or who wish to pursue graduate school in economics. Students completing the B.S. in economics may not double major in management science.",https://economics.ucsd.edu/undergraduate-program/majors-and-minors/bs-degree-in-economics.html,,B.S.,Economics (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"This major is considered to be excellent preparation for PhD programs in economics and business administration, as well as for graduate studies in other quantitative fields. It is also a good preparation for careers in business, law, and government. The BS in mathematics and economics is a designated STEM major. The program is a highly structured major that requires a significant number of courses in both departments. As such, it is critical that students who are interested in this major meet with the undergraduate advisers in both departments early in their academic career to plan their program of study. The curriculum is designed to give students a strong foundation in economic theory, mathematical theory, and statistical analysis. In addition to a rigorous sequence of calculus and other mathematics courses, students must complete core theory sequences in both microeconomics and macroeconomics, as well as a yearlong sequence in econometrics. They are also required to take three advanced courses from a list of approved electives.",https://catalog.ucsd.edu/curric/ECON-ug.html#jointmajorinmathematicsandec,,B.S.,Economics and Mathematics - Joint Major (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The economics minor is a good option for students whose primary area of interest is not economics, but who would like to have a strong foundation in the subject. The department is not able to accommodate students who wish to double major in two of our department’s majors.",https://catalog.ucsd.edu/curricula-departments-programs/economics/economics-minor.html,,Minor,Economics Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Bachelor of Science (BS) in Education Sciences is an interdisciplinary major that provides students a strong foundation in the theoretical and practical aspects of education and human development. It is grounded in the scientific study of learning and is appropriate for students interested in multiple career paths, including K-12 teaching, school leadership, educational research, education policy, and learning analytics. The curriculum focuses on four areas:
1. Learning and development throughout the life course
2. The design of effective instruction and learning environments
3. The role of social context and culture in shaping educational outcomes
4. The use of research and data to improve education
The major emphasizes experiential learning through a sequence of practicum courses that allow students to connect research and theory to practice. It is designed to prepare students for a variety of careers in education and for graduate studies, including teacher credential programs and doctoral programs in education and related fields.",https://eds.ucsd.edu/undergraduate/bs-education-sciences.html,,,Education Sciences (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The education studies minor provides a foundation for students interested in the study of education. The minor is a set of intellectually engaging and interdisciplinary courses that gives students the opportunity to examine the history of public education in the United States, the cognitive and social development of children, and the challenges of creating equitable learning opportunities for a diverse student population. The minor consists of seven courses (twenty-eight units). All courses for the minor must be taken for a letter grade and a grade of C– or better must be earned. All courses must be four units.",https://catalog.ucsd.edu/curric/EDS-mi.html,,Minor,Education Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
"['Communication Systems', 'Computer Systems Design', 'Electronic Circuits and Systems', 'Electronic Devices and Materials', 'Machine Learning and Controls', 'Photonics', 'Power Engineering', 'Signal and Image Processing']","The BS in electrical engineering is a four-year curriculum that builds on a foundation of mathematics and physics and develops a student’s knowledge and skills in a number of electrical engineering areas. Students select a set of courses, a depth, in one of the following eight areas: communication systems, computer systems design, electronic circuits and systems, electronic devices and materials, machine learning and controls, photonics, power engineering, or signal and image processing. The curriculum is designed to provide students with the design skills and problem-solving abilities they will need for successful careers in electrical engineering or for advanced study. The department offers a wide range of state-of-the-art laboratories to support the curriculum.",https://ece.ucsd.edu/undergraduate/electrical-engineering-bs,"The B.S. Electrical Engineering program is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",,Electrical Engineering (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The minor in electrical engineering is intended to provide students with a strong foundation in electrical engineering. To complete the minor, students must complete seven ECE courses, totaling twenty-eight units, with at least five of the courses being upper division. All courses for the minor must be taken for a letter grade. The ECE department enforces prerequisites and enrollment restrictions for all ECE courses. Students should check the ECE course descriptions in the catalog for the most up-to-date information.",https://catalog.ucsd.edu/curricula-departments-programs/jacobs-school-of-engineering/electrical-computer-engineering/ECE-minor.html,,Minor,Electrical Engineering Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"With the approval of the ERC provost, students may design their own individual minor. The individual minor must consist of seven courses, at least four of which must be upper division. The courses must be thematically linked, and the student must submit a written proposal to the provost explaining the theme and providing a rationale for each of the courses.",https://catalog.ucsd.edu/colleges/ERC/index.html,,Minor,Eleanor Roosevelt College Individual Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The engineering mechanics minor is designed to provide students with a strong background in the fundamental principles of engineering mechanics that are important for a wide variety of engineering applications. The minor is particularly suitable for students in engineering disciplines, including aerospace, bioengineering, chemical, civil, electrical, environmental, and mechanical engineering, as well as students in the physical sciences.",https://catalog.ucsd.edu/curric/MAE-ug.html#engineeringmechanicsminor,,Minor,Engineering Mechanics (MAE) Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
"Aerospace Engineering, Electrical Engineering, Mechanical Engineering, Materials Science, Nanoscience and Technology, Earth Sciences, Renewable Energy Technologies","The engineering physics major is a challenging and rewarding interdisciplinary program offered by the Department of Physics in cooperation with the Jacobs School of Engineering. The curriculum is designed to provide a strong foundation in physics and mathematics, together with a solid grounding in an engineering discipline of the student’s choice. The program is well-suited for students who desire to work at the forefront of science and technology in a research or development environment, in either an academic or industrial setting. A key component of the major is a two-quarter senior project in which the student works on a topic of interest under the close supervision of a faculty member. The program leads to a bachelor of science degree.",https://catalog.ucsd.edu/curric/PHYS-ug.html#engineeringphysicsmajor,"The engineering physics major is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,Engineering Physics (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,,https://catalog.ucsd.edu/curricula-departments-programs/physics.html#engineeringphysicsminor,,Minor,Engineering Physics Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
creative writing,"The Literatures in English major is designed for students who are interested in the literatures of a particular linguistic and cultural tradition, from the British Isles and the Americas to Africa, Asia, and Australia. Courses in Literatures in English are designed to introduce students to a wide range of literary and cultural texts and to a variety of critical and theoretical approaches. Students majoring in Literatures in English may choose to complete a concentration in creative writing. This concentration offers courses in fiction writing, poetry writing, and nonfiction writing, as well as screenwriting. Students who are interested in the creative writing concentration should consult with department faculty and undergraduate advisers.",https://catalog.ucsd.edu/curricula/departments/LIT.html,,BA,English (see Literatures in English),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Entrepreneurship and Innovation (E&I) minor is for undergraduate students who want to prepare for a future where they can make an impact. Students in the minor gain the knowledge, skills and experience to generate new ideas and transform them into businesses, products and services. The minor offers a unique opportunity for students to learn how to launch a new business, excel in an entrepreneurial corporate setting, or create a social-impact venture. The curriculum focuses on team-based projects where students learn through hands-on experiences. Students from every major and all six colleges are welcome to apply to the minor.",https://rady.ucsd.edu/programs/undergraduate-programs/entrepreneurship-minor/,,Minor,Entrepreneurship and Innovation Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Environmental Anthropology,"The concentration in environmental anthropology provides an understanding of how ecological and social processes are mutually constituted. The curriculum focuses on the human dimensions of environmental challenges, including climate change, biodiversity conservation, environmental justice, and sustainability. The concentration equips students with the knowledge and skills necessary to contribute to a more sustainable and equitable world. It prepares them for careers in fields such as environmental policy, conservation, sustainable development, and environmental education.",https://anthropology.ucsd.edu/undergraduate/majors-minors/environmental-anth.html,,,Environmental Anthropology (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Environmental Anthropology,"The minor in anthropology with a concentration in environmental anthropology will provide students with the anthropological tools to understand and address some of the most pressing environmental challenges that face our world in the twenty-first century. The minor is designed to equip students with the conceptual frameworks and research methods necessary for analyzing the complex relationships between human societies and their environments. The minor encourages critical analysis of the historical, political, and economic processes that have led to environmental degradation, climate change, and the unequal distribution of environmental harms and benefits.",https://catalog.ucsd.edu/curricula-departments-programs/anthropology.html#minor,,,Environmental Anthropology Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The environmental chemistry major provides a strong background in chemistry and a focus on the chemistry of the environment. The curriculum is designed to prepare students for careers in fields such as environmental consulting, regulation and pollution control, and remediation and for graduate study in environmental chemistry, geochemistry, oceanography, or related fields. The curriculum is certified by the American Chemical Society (ACS) as having an environmental chemistry emphasis.",https://catalog.ucsd.edu/curric/CH-ug.html#environmentalchemistrychbachelor,The curriculum is certified by the American Chemical Society (ACS) as having an environmental chemistry emphasis.,B.S.,Environmental Chemistry (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
"Environmental Fluid Mechanics, Hydrology and Water Resources, Environmental Chemistry and Process Engineering, Sustainable Energy","The environmental engineering program is a rigorous B.S. degree that combines principles from the physical, chemical, biological, and engineering sciences to address the complex environmental problems our society is facing. The program is designed to provide students with the fundamentals needed to tackle environmental challenges such as those related to water quality, air pollution, climate change, and renewable energy. The B.S. in environmental engineering is administered by the Department of Mechanical and Aerospace Engineering. Students who are interested in pursuing this major should refer to the department’s website at https://mae.ucsd.edu/ for more details. The program has specific lower- and upper-division requirements, with several options for students to specialize their studies according to their interests.",https://mae.ucsd.edu/undergrad/environmental-engineering,"The Environmental Engineering Program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,Environmental Engineering (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The environmental studies minor is an interdisciplinary minor. The minor provides a broad background in the scientific, social, and humanistic aspects of environmental studies and allows a student to develop an area of concentration. Students are encouraged to develop a course of study that is complementary to the academic focus of their major.",https://catalog.ucsd.edu/minors/ESYS.html,,Minor,Environmental Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Earth Sciences,"The environmental systems (ESYS) major is an interdisciplinary undergraduate major offered at UC San Diego’s Scripps Institution of Oceanography. ESYS students focus on the physical and chemical processes that impact Earth’s systems and the social and humanistic aspects of our changing planet. Our curriculum is designed to give students a deep and integrated understanding of the Earth system in the face of climate change. Students will be equipped with a robust scientific foundation that will enable them to address the myriad of environmental challenges of the twenty-first century. Graduates receive a BS degree. The major is divided into four focused tracks: (1) Earth sciences, (2) ecology, behavior, and evolution, (3) environmental chemistry, and (4) environmental policy. After taking a series of introductory courses, students choose to specialize in one of these four areas. They then complete a set of advanced courses in their area of specialization as well as an advanced course in environmental policy and law and a capstone course. In addition, students are required to complete a senior project. The ESYS major requires all students to participate in a field course, study abroad program, or research experience. This experiential learning requirement gives our students hands-on learning opportunities.",https://catalog.ucsd.edu/curric/ESYS-ug.html,,B.S.,Environmental Systems (Earth Sciences) (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
"Ecology, Behavior, and Evolution","The environmental systems major is an interdisciplinary undergraduate major administered by the Department of the Earth Sciences. The curriculum is designed to prepare students to enter a wide range of graduate programs and careers in the environmental field. The major offers a choice of several different tracks: 1. Earth Sciences, 2. Ecology, Behavior, and Evolution, 3. Environmental Chemistry, and 4. Environmental Policy. Students must choose and declare one of these tracks, and complete a set of core courses and a specialized set of upper-division courses for their specific track. The environmental systems major requires that students take courses in the natural sciences and in the social sciences. Students are therefore encouraged to have a broad interest in the sciences, as well as in policy, and must choose an area of focus in one of the tracks. The core courses for the major provide a foundation in biology, chemistry, mathematics, physics, and earth sciences. The upper-division courses for each track build on this foundation and provide the specific knowledge for the chosen area of specialization.
This track is designed to provide an understanding of the fundamental principles of ecology and evolutionary biology and their application to environmental problems. Students will learn how populations, communities, and ecosystems are structured and how they function. This background is essential for the conservation and management of living resources, as well as for the prediction of the ecological and evolutionary consequences of environmental change.",https://catalog.ucsd.edu/curric/ESYS-bs.html,,,"Environmental Systems (Ecology, Behavior, & Evolution) (B.S.)","The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Environmental Chemistry,"The environmental systems (ESYS) major is an interdisciplinary undergraduate major that has been developed jointly by the Department of the Scripps Institution of Oceanography and multiple other departments at UC San Diego. The curriculum is designed to prepare students for careers in the environmental sciences and to provide them with the background necessary to pursue graduate work in a wide variety of environmental subdisciplines. The ESYS major is administered by the Department of the Scripps Institution of Oceanography in collaboration with the Departments of Biological Sciences, Chemistry and Biochemistry, Economics, Political Science, and the School of Global Policy and Strategy at UC San Diego. The major is organized around a common core of courses that provide a broad background in the physical, biological, and social sciences, followed by a choice of one of six specialized upper-division tracks. The six specialized tracks offered are (1) earth sciences, (2) ecology, behavior, and evolution, (3) environmental chemistry, (4) environmental policy, (5) environmental systems engineering, and (6) oceans and the atmosphere.",https://catalog.ucsd.edu/curric/ESYS-ug.html,,B.S.,Environmental Systems (Environmental Chemistry) (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Environmental Policy,"The environmental systems major is an interdisciplinary undergraduate major administered by the John Muir College provost’s office and is advised by a faculty steering committee with members from the Departments of Anthropology, Biological Sciences, Chemistry and Biochemistry, Economics, Ethnic Studies, Political Science, and Urban Studies and Planning, as well as Scripps Institution of Oceanography. The major is grounded in the study of the Earth as a system. The curriculum is designed to provide a broad foundation in the physical, biological, and social sciences as they are needed to understand our environment and the impact of human activities upon it. It is a major designed to prepare undergraduates to enter a wide range of environmental careers and graduate programs in the natural sciences, social sciences, public policy, and law.",https://catalog.ucsd.edu/curric/ESYS-ba.html,,B.A.,Environmental Systems (Environmental Policy) (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The environmental systems minor is designed to provide students with a broad background in the scientific, social, and humanistic aspects of environmental issues. The minor consists of seven courses, of which at least five must be upper-division. It will be the responsibility of the student to design a coherent course of study for the minor and to have it approved by an environmental systems adviser.",https://catalog.ucsd.edu/curric/ESYS-mi.html,,,Environmental Systems Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Department of Ethnic Studies is a vibrant interdisciplinary and comparative field of study that focuses on the ways in which race, ethnicity, indigeneity, gender, sexuality, class, and other social formations are shaped by power and resistance. Our curriculum foregrounds race as an organizing principle for all societies, past and present. We emphasize the theoretical and analytical skills needed to understand the historical and contemporary experiences of racialized and Indigenous communities in the United States and transnationally. As an interdisciplinary department, we draw from and contribute to the humanities, social sciences, and arts. Our core curriculum provides majors and minors with the methodological and theoretical tools for a critical study of power and resistance, race and racism, equity and social justice. Students in our courses learn to think critically about race and its intersections with other social identities. They also learn to express their ideas clearly in both written and verbal form. We offer a BA, a minor, and a PhD in ethnic studies as well as a joint doctorate with the Department of History. We are also the administrative home for the Critical Gender Studies Program (CGS), which offers a BA, a minor, and a graduate specialization.",https://catalog.ucsd.edu/curricricula-departments-programs/ethnic-studies/,,,Ethnic Studies (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Ethnic Studies Minor is an interdisciplinary minor that provides a comprehensive understanding of the histories and cultures of racial and ethnic groups in the United States. It provides a broad critical inquiry into the histories and contemporary experiences of African Americans, Asian Americans, Chicanx/Latinx, and Native Americans. The comparative and interdisciplinary approach of the curriculum will provide students with the ability to critically analyze issues of race, culture, class, ethnicity, and gender, both in the United States and transnationally. This is an excellent area of study for students who want a deep understanding of the diverse society they live in and for those students who plan to enter professions that will require them to engage with diverse populations.",https://ethnicstudies.ucsd.edu/academics/undergraduate-program/minor.html,,Minor,Ethnic Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Track I. General European Studies; Track II. Country or Regional Focus,"The major in European studies is an interdisciplinary program in the humanities and social sciences that allows students to study modern Europe from a variety of perspectives. The program offers a B.A. degree. There is also a minor in European studies. A major may select one of two tracks: a general European studies major, or a major with a European country or regional focus. The European studies program is administered by an interdepartmental committee of faculty. The program places a strong emphasis on the acquisition of foreign language skills as a tool for the study of European societies and cultures. All European studies majors must demonstrate advanced proficiency in one modern European language. Majors are also encouraged to participate in the UC Education Abroad Program (EAP) or UCSD’s Opportunities Abroad Program (OAP).",https://catalog.ucsd.edu/curric/EUR-ba.html,,,European Studies (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The European studies minor is an interdisciplinary minor. Its purpose is to allow students to pursue a coherent course of study in the arts, history, literature, and social sciences of both historical and contemporary Europe. The minor allows for the study of Europe in a variety of ways: from a single disciplinary or country focus, to an explicitly interdisciplinary and comparative focus.",https://catalog.ucsd.edu/curric/ESYS-mi.html,,Minor,European Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"A minor in finance is designed for students who are interested in careers in the financial industry, corporate finance, and related fields. The curriculum is designed to provide students with a strong foundation in the principles of finance, including financial markets, investments, and corporate finance. Students will also have the opportunity to take elective courses in areas such as financial econometrics, real estate finance, and international finance. All courses for the minor must be taken for a letter grade. A maximum of two courses (8 units) may be taken outside of UC San Diego.",https://rady.ucsd.edu/programs/undergraduate-programs/business-minor/finance/,,Minor,Finance Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The major in French literature offers a course of study that combines a broad historical overview of French literature with in-depth course work in all periods and genres. Courses are offered in English and French. The major and minor are designed to provide a solid basis for students planning to enter graduate school as well as for those who wish to pursue a career in which the knowledge of French language and literature would be useful. Many French literature majors have combined their literary studies with a major in another discipline, such as history, political science, international relations, or biology.",https://literature.ucsd.edu/undergrad/majors/french-lit.html,,B.A.,French Literature (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,The French literature minor requires a total of seven courses. A minimum of four courses must be upper division. All courses must be taken for a letter grade. Literature majors may not minor in literature.,https://catalog.ucsd.edu/curricula-departments-programs/literature/literature-minor.html#frenchliteratureminor,,Minor,French Literature Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The general biology major is the most flexible of the biology majors, and is designed for students with broad interests who wish to acquire a solid foundation in the principles of biology. The wide selection of electives allows students to tailor their curriculum to their specific interests, whether it is to prepare for graduate school in a specific area of biology or for admission into medical, dental, veterinary, or other health-profession schools.",https://biology.ucsd.edu/education/undergrad/maj-min/majors/gen-bio.html,,B.S.,General Biology (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"This minor is intended for students not majoring in any of the biological sciences majors. At least six of the seven courses required for the minor must be taken at UC San Diego. Students must earn a grade of C– or better in all courses taken for the minor. Courses taken for the minor may not be taken on a Pass/Not Pass basis. Students may not minor and major in the same area. A maximum of two upper-division courses may be used to fulfill the requirements for a major and a minor.

Lower-Division Requirements (twelve units)
BILD 1, BILD 2, and BILD 3

Upper-Division Requirements (sixteen units)
Four upper-division biology courses (each course must be at least four units) from the offerings of the UC San Diego Division of Biological Sciences. One of the upper-division courses must include a laboratory component. One upper-division biology course may be substituted from another department with prior approval from the Biological Sciences Student and Instructional Services office.",https://catalog.ucsd.edu/curric/BI-ug.html#minorinbiology,,Minor,General Biology Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Geosciences Minor is intended for students with a broad interest in Earth sciences. The minor draws on the expertise of faculty and researchers in the Geosciences Research Division at Scripps, whose research interests include the physical, chemical, and geological evolution of the solid earth, ocean, and atmosphere; and the political, economic, and social aspects of earth science.",https://scripps.ucsd.edu/undergrad/minor/geosciences,,Minor,Geosciences Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The German literature minor consists of seven courses, at least five of which must be upper division. LTGM 2A-B-C or their equivalent are prerequisites for upper-division German literature courses. All courses must be taken for a letter grade. Two of the seven courses may be in a related literature or in German history or philosophy. A list of approved courses is available in the literature undergraduate office.",https://catalog.ucsd.edu/curric/LIT-mi.html,,Minor,German Literature Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The German Studies major offers students the opportunity to develop an in-depth knowledge of German literature and culture, including film and philosophy, from the 18th century to the present. The program is designed to provide a strong foundation for graduate studies in German, comparative literature, or film, as well as for careers requiring a high degree of intercultural competence and proficiency in German. Advanced German language courses provide students with the linguistic and analytical skills necessary for the study of German literature and culture in the original language. A wide range of upper-division courses taught in German give students a comprehensive overview of the major authors, works, and movements of German literary history. Students also have the opportunity to take courses in English that place German literature and culture in a broader European and international context. All students are strongly encouraged to participate in the Education Abroad Program (EAP) in Berlin for a summer, a semester, or a full year.",https://literature.ucsd.edu/undergrad/german-studies.html,,B.A.,German Studies (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The German studies minor is an interdisciplinary minor that allows students to combine the study of German language and literature with courses in history, philosophy, political science, and other fields that will provide a broad and deep understanding of German culture and its development. A knowledge of German is required for the minor, with at least five of the seven courses taken in German.",https://catalog.ucsd.edu/curric/LIT-mi.html#germanstudiesminor,,Minor,German Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
"['Epidemiology/Socio-Cultural/Medical Approaches to Global Health', 'Policy and Program Interventions', 'Medicine, Science, and the Body']","The global health major is a bachelor of arts degree and is designed to provide students an understanding of the complex determinants of health and disease in a global context. The major will provide students with the foundational knowledge needed to be a global health professional through an interdisciplinary curriculum with a strong focus in the social sciences. The curriculum focuses on five core global health concepts: 1) understanding the social and cultural determinants of health and disease; 2) learning about health-care systems and global health organizations and policies; 3) appreciating the role of history, politics, and economics in shaping health and disease patterns; 4) developing skills to critically analyze and assess global health inequalities; and 5) understanding the global burden of disease and demographic transitions. Students graduating with a global health major will develop skills in qualitative and quantitative research and communication and will gain in-depth knowledge of a particular global health topic through an upper-division concentration. The capstone of the major is a senior thesis or project that will allow students to integrate and apply the knowledge and skills they have gained in the major. Students who major in global health are well-prepared to enter a number of different fields, including graduate school in public health, medicine, or the social sciences; to work in government, nongovernmental organizations, or the private sector; or to serve in organizations such as the Peace Corps.",https://catalog.ucsd.edu/curric/GH-BA.html,,,Global Health (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Global Health Program offers a bachelor of arts and a bachelor of science in global health, a global health minor, and a contiguous bachelor of science/master of public health (BS/MPH) degree. The global health major is an interdisciplinary program that focuses on the health of populations in a global context. The major will provide students with a strong foundation in the social and biological determinants of health, with an emphasis on issues of health equity. The curriculum covers a broad range of topics, including epidemiology, global health policy, social and behavioral health, maternal and child health, and infectious and chronic diseases. The bachelor of science degree is distinguished from the bachelor of arts degree by a greater emphasis on the natural sciences.",https://catalog.ucsd.edu/curricricula-by-div/health-sci/GlobalHealth.html,,B.S.,Global Health (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Global Health minor is designed to provide students with a broad introduction to the field of Global Health. Through a diverse set of courses, students will be able to learn about the complexities of global health issues through a variety of different disciplinary lenses. Students who complete the Global Health minor will have a greater understanding of the complex determinants of health and disease, the links between health and social justice/equity, and different models of health intervention. In so doing, this minor will provide students with a rich set of intellectual and practical skills that will prepare them to be leaders in global health in the future.",https://globalhealth.ucsd.edu/academics/minor/index.html,,Minor,Global Health Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The global South has emerged as a new geopolitical reality in the wake of the Cold War. As a set of spaces and populations bound together by shared histories of colonialism, underdevelopment, and poverty, the global South has also given rise to new social movements and concepts of development, rights, and citizenship. The bachelor of arts in global South studies provides a broad, interdisciplinary, and multicultural perspective on these global dynamics. The program of study is designed to offer a multifaceted and comparative perspective on the histories, political economies, cultures, and social formations of communities in Africa, Asia, and Latin America, as well as those of their diasporas. Students will work with faculty from across the arts and humanities and the social and natural sciences to examine key issues—including colonialism, slavery, migration, race, gender, sexuality, and indigeneity—as they have historically taken shape and as they have evolved to meet the political demands of the present. Majors will be able to pursue a focused and in-depth program of study that prepares them for graduate school as well as for careers in a wide range of fields, including government, social and legal services, public policy, education, medicine and public health, journalism, and business.",https://catalog.ucsd.edu/curric/GSS-ba.html,,,Global South Studies (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The minor in Global South studies (GSS) provides an opportunity for students to enhance their major field of study with a multidisciplinary approach to society, culture, and political economy in the Global South. A minor in GSS is particularly well-suited for students with majors in the social sciences and humanities who wish to gain an in-depth understanding of the problems and perspectives of communities in the Global South. Students with majors in the sciences who plan to work in the Global South would also be well served by this program of study.",https://gss.ucsd.edu/undergraduate/minor.html,,Minor,Global South Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Major in Literatures in Greek is an option for students who wish to pursue the study of Greek literature in the original. A total of twelve upper-division courses are required. At least seven of these courses must be in Greek literature, taken in the original language. Up to five courses may be in another literature or in an area of study approved by the adviser.",https://catalog.ucsd.edu/curric/LIT-ug.html#greekmajor,,,Greek Literature,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The healthy aging minor is an interdisciplinary minor that provides students with a foundational understanding of the multidimensional aspects of aging. Course work will focus on the physiological, psychological, and social changes that occur throughout the life course and how these changes impact the health and well-being of older adults. Students will also gain a deeper appreciation for the heterogeneity of the aging process and how social and structural inequities influence the health of older adults and their communities. This minor is intended for undergraduate students from all majors who have an interest in working with or on behalf of older adults.",https://catalog.ucsd.edu/curric/FMPH-mi.html,,Minor,Healthy Aging Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The minor in Hebrew language and literature is designed to provide students with a basic knowledge of the Hebrew language and a broad introduction to the literary and cultural traditions of the Jewish people. The minor consists of seven courses, of which at least four must be upper division.",https://catalog.ucsd.edu/curric/JUS-mi.html,,Minor,Hebrew Language and Literature Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
