Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Science in Business Administration,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,General Business,"The Bachelor of Science in Business Administration degree is designed to provide students with a comprehensive understanding of the functional areas of business. The curriculum equips students with the knowledge and skills necessary for careers in both the private and public sectors, focusing on the integration of business principles with Christian ethics and values.",,https://www.amridgeuniversity.edu,,,450.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Business Administration##Business/Management,,,False,False,,,100.0,,,,6.0,,,,,71.0,,,,,,,,,,,,,"Federal Student Aid, VA Benefits",FALSE,,,FALSE,FALSE,,
,Bachelor of Science in Human Resource Leadership,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,"The Bachelor of Science in Human Resource Leadership emphasizes enhancing human effort, relationships, and leadership within an organization. The curriculum focuses on securing, maintaining, and effectively working with personnel, including screening employees, training, human-relations, forecasting, and developing compensation systems. This program prepares students for careers in management, public relations, and government work, and serves as a foundation for various graduate degrees.",,https://www.amridgeuniversity.edu,,,455.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Human Resources##Business/Management,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,"Grants, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
,Bachelor of Science in Information Systems Management,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,Not Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,"information systems security, network systems, data communications systems, wireless technologies, voice-over-IP systems, training and development in information services, web design, applications management, collaboration technologies","The Bachelor of Science in Information Systems Management focuses on computer workstations, networks, intranets, and the Internet. The curriculum also covers training employees on these systems, establishing web servers, and maintaining the security of Internet and Intranet systems.",,https://www.amridgeuniversity.edu,,,455.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Information Systems##Business Information Systems##Management##Information Technology,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,"grants, scholarships, loans",FALSE,,,FALSE,FALSE,,
,Bachelor of Science in Management,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"This program combines the strengths of traditional management principles and practices with the art and science of traditional and emerging communication strategies to provide the essentials required for a successful career in business and the Christian community. Graduates are prepared in essential areas such as management, leadership, team building, decision-making, and critical thinking. The curriculum exposes students to theories, operations, and practices in both for-profit and nonprofit arenas.",,https://www.amridgeuniversity.edu,,,375.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Management##Business/Management,,,True,True,,18.0,95.0,,,,6.0,,,,900.0,61.0,,,,,,,,,,,,,"Merit-based, Corporate Alliance Award, Accelerated Degree Grant, Undergraduate First-time Freshman Scholarship, Home School Student Award, Public Service Tuition Scholarship",FALSE,,,FALSE,FALSE,,
,Associate of Arts in Criminal Justice,,,,,Associate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"The Associate of Arts in Criminal Justice program provides students with the knowledge and skills needed for successful work in various organizations that offer public safety and law enforcement services.  It is designed to help students complete an initial college degree and establish a strong academic foundation for a bachelor's degree in criminal justice.  Students will examine criminal behavior, the investigative process, and legal aspects of the criminal justice system.",,https://www.amridgeuniversity.edu,,,335.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Criminal Justice##Administration of Justice,,,True,True,,18.0,,,,,7.0,,,,900.0,110.0,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,
,Associate of Arts in Legal Studies,,,,,Associate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Associate of Arts in Legal Studies is a multidisciplinary degree that combines general education with introductory elements of Criminal Justice, Human Resource Leadership, Human Development, and Ministry.  It is designed to prepare working professionals to better address legal and societal influences in their jobs and communities.",,https://www.amridgeuniversity.edu,,,335.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Law##Liberal Arts,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,"Grants, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
,Associate of Arts in Liberal Studies,,,,,Associate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"The Associate of Arts in Liberal Studies provides a multidisciplinary degree focusing on skills for academic transfer, career readiness, and lifelong learning. This program allows students to complete general education requirements and customize their studies to align with professional goals and personal interests. Upon completion, a student may have fulfilled half the requirements for a bachelor's degree.",,https://www.amridgeuniversity.edu,,,335.0,FALSE,False,,,,,,,,,,,,,,,,,,Liberal Arts##Liberal Studies##General Studies,,,True,True,,18.0,95.0,,,,6.0,,,,900.0,61.0,,,,,,,,,,,,,"Merit-based, Need-based, Military, Ministers, Corporate Alliance",FALSE,,,FALSE,FALSE,,
,Bachelor of Science in Criminal Justice,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Bachelor of Science in Criminal Justice program is designed to complement an individual's existing skills by incorporating general knowledge, human relations, and development skills.  It also covers communication skills, principles of justice, and the application of organizational and leadership principles necessary for success in today's public safety and law enforcement organizations.  This program integrates courses in human relations, criminal justice, organization, communication, and leadership to prepare students for upward mobility within public safety agencies, community non-profit organizations, and church organizations.",,https://www.amridgeuniversity.edu,,,455.0,FALSE,False,,,3.25,,,,,,,,,,,,,,,Criminal Justice##Administration of Justice,,,True,True,,18.0,,,,,,,,,900.0,65.0,,,,,,,,,,,,,"Merit-based, Need-based, Corporate Alliance, First-time Freshman",FALSE,,,FALSE,FALSE,,
,Bachelor of Science in Human Development,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"This program is designed as a gateway to the Amridge University Master of Science Degree program with concentrations in Family Therapy or in Counseling. Graduates will be prepared in the dynamics of human relations and interactions that are critical in all positions relying on close working relationships. Students will be introduced to human development, motivation, introductory counseling theories and practices, aging, and diversity.",,https://www.amridgeuniversity.edu,,,455.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Human Development,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,"Grants, Loans",FALSE,,,FALSE,FALSE,,
,Associate of Arts in Ministry/Bible,,,,,Associate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Associate of Arts in Ministry/Bible program provides students with the opportunity to complete an initial college degree while establishing a solid academic foundation for a bachelor's degree in the field of ministry.  The program's goal is to prepare students for service in the church as ministers, elders, deacons, missionaries, and Bible teachers, as well as for allied Christian leadership positions.  Upon completion, a student may have fulfilled half of the requirements for a bachelor's degree.",,https://www.amridgeuniversity.edu,,,455.0,FALSE,False,,,3.25,,,,,,,,,,,,,,,Theology##Religion##Religious Studies,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,"Grants, loans, scholarships, work-study programs",FALSE,,,FALSE,FALSE,,
,Bachelor of Arts in Biblical Studies,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Bachelor of Arts in Biblical Studies is a comprehensive professional program designed to prepare students for various service roles within the church, such as pulpit ministers, elders, deacons, missionaries, and Bible teachers.  It also aims to equip students for Christian leadership positions in youth services, as ministers of education, or as chaplains in various institutions.  The program emphasizes a scholarly approach to get students ready for advanced degrees like a Master of Arts in New Testament or Old Testament Studies.",,https://www.amridgeuniversity.edu,,,455.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Religion##Religious Studies##Theology,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,Grants,FALSE,,,FALSE,FALSE,,
,Bachelor of Science in Ministry/Bible,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Bachelor of Science in Ministry/Bible is a comprehensive professional program with a practitioner's focus designed to prepare students for various service roles within the church, such as pulpit ministers, elders, deacons, missionaries, and Bible teachers.  This program also provides a solid foundation for students who wish to pursue advanced degrees in religious studies.  It helps prepare students for allied Christian leadership positions in areas like youth services, ministers of education, or chaplains in hospitals and other institutions.",,https://www.amridgeuniversity.edu,,,455.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Theology##Religion##Religious Studies,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,"Grants, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
