Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,"Bachelor of Science in Agricultural Business Management, Biological Sciences Concentration",,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,Required,"To apply, first-year applicants must submit the Common Application. NC State reviews applications holistically, considering grades, the rigor of the course curriculum, interest in the applied-for program, background, opportunities, accomplishments, and extracurricular involvement. [7] An essay is a required part of the Common Application.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture and Life Sciences,"Specific tuition for this program is not listed; however, general undergraduate tuition and fees can be found on the university's Student Services Center website. [23]",,,,,,,,,,https://catalog.ncsu.edu/,,,"For the 2025-2026 academic year, the cost per credit hour for undergraduate students is not explicitly detailed on the provided pages, but the context implies different rates for in-state and out-of-state students. [23]",FALSE,True,"Students with a cumulative GPA less than 2.0 and a grade point deficit greater than 15 at the end of any term will be placed on Academic Suspension. [14, 18]",4.0,2,,,,,,,,,,,,,,,,,,False,False,,17.0,110.0,,,,6.5,,,58.0,930.0,80.0,,,,,,,,,,,,,"Merit-based and need-based scholarships are available. [20, 30]",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Agricultural Education,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,,,"The admissions decision is based on a holistic review of a complete application. Key items considered include: academic achievement in high school, interest in the applied-for program, accomplishments and involvement outside of the classroom, background and opportunities, and the applicant's individual story. [17] First-year applicants should at least meet the minimum course requirements (MCR) established by the Board of Governors of the University of North Carolina System. [3]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,"['Animal Science', 'Natural Resources', 'Horticultural Science', 'Agronomy', 'Agribusiness Management', 'Agricultural Engineering Technology', 'Poultry Science']","The Agricultural Education major within the Department of Agricultural and Human Sciences prepares graduates to teach agriculture, serve as FFA advisors, and supervise agricultural experiences (SAE) in public and private schools. [10, 11, 16] The program emphasizes the teaching and learning process in both formal classrooms and other settings. [7] A broad understanding of agriculture is required so that students will be able to communicate effectively agricultural information to a variety of audiences. [7] Completion of the B.S. program in Agricultural Education leads to teacher licensure in North Carolina for grades 6-12. [10] Due to North Carolina's reciprocity agreements, graduates can also pursue certification in about 35 other states. [10] Many alumni pursue careers in middle and high schools, universities and community colleges, county extension offices, and in the agricultural industry. [10, 11, 16]",,https://catalog.ncsu.edu/,"{'accrediting_body': 'Council for the Accreditation of Educator Preparation (CAEP)', 'status': 'Accredited', 'last_accredited': 2022, 'next_accreditation': 2029}",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,17.0,,,,,,,,,930.0,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Agricultural Education, Agricultural Business Concentration",,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,"For first-year admission, NC State requires the submission of an online application (the Common Application), a self-reported high school transcript, and consideration of a student's academic record, including the rigor of their coursework. A student's interest in their desired program, accomplishments outside the classroom, background, and opportunities are also considered. Submission of SAT or ACT scores is optional for students with a weighted GPA of 2.8 or higher. [12]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,Agricultural Business Concentration,"The Agricultural Education major within the Department of Agricultural and Human Sciences prepares graduates to teach agriculture, serve as FFA advisors, and supervise agricultural experiences (SAE) in public and private schools. [3, 4] The Agricultural Business concentration is one of seven concentrations offered for the Bachelor of Science in Agricultural Education. [3, 4]",,https://catalog.ncsu.edu/,Completion of the B.S. program in Agricultural Education leads to teacher licensure in North Carolina for grades 6-12. [4],,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Agricultural Education, Agricultural Engineering Technology Concentration",,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,,"First-year applicants must apply through the Common App or Coalition on Scoir. A non-refundable $85 application fee is required, though fee waivers are available. On the application, students are asked to select up to two majors and must answer a short answer question explaining their choice of program. NC State is test-optional for applicants with a weighted GPA of 2.8 or above.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,Agricultural Engineering Technology Concentration,"The Agricultural Education major within the Department of Agricultural and Human Sciences prepares graduates to teach agriculture, serve as FFA advisors, and supervise agricultural experiences (SAE) in public and private schools. [3] The Agricultural Engineering Technology concentration is one of seven concentrations offered for the Bachelor of Science in Agricultural Education. [3] Students interested in Agricultural Education may be eligible to apply for the North Carolina Teaching Fellows Program at NC State. [3] Student teachers of agriculture may apply for Ed Scholars through NC State. [3] Many alumni pursue careers in middle and high schools, universities and community colleges, county extension offices, and in the agricultural industry. [3]",,https://catalog.ncsu.edu/,"Completion of the BS program in Agricultural Education leads to teacher licensure in North Carolina for grades 6 - 12. [3] Because of North Carolina's reciprocity agreements, graduates also can pursue certification in about 35+ states. [3]",,,FALSE,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Most scholarships are $1,000. [1]",,Merit-based,FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Agricultural Education, Agronomy Concentration",,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,True,True,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,Agronomy Concentration,"The Agricultural Education major within the Department of Agricultural and Human Sciences prepares graduates to teach agriculture, serve as FFA advisors, and supervise agricultural experiences (SAE) in public and private schools. The Agronomy concentration is one of seven concentrations offered for the Bachelor of Science in Agricultural Education. [1, 2]",,https://catalog.ncsu.edu/,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,58.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, Leadership-based",FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Agricultural Education, Animal Science Concentration",,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"For first-year admission, North Carolina State University requires completion of the Common Application. The university considers a student's academic record in high school, including the rigor of the curriculum and grades. While not explicitly stated for this specific program, general first-year application is implied.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,Animal Science Concentration,"The Agricultural Education major within the Department of Agricultural and Human Sciences prepares graduates to teach agriculture, serve as FFA advisors, and supervise agricultural experiences (SAE) in public and private schools. [2, 3] The Animal Science concentration is one of seven concentrations offered for the Bachelor of Science in Agricultural Education. [2, 3] Students interested in Agricultural Education may be eligible to apply for the North Carolina Teaching Fellows Program at NC State. [2, 3] Student teachers of agriculture may apply for Ed Scholars through NC State. [2, 3]",,https://catalog.ncsu.edu/,,,,FALSE,True,,4.0,2,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,58.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Agricultural Education, Horticultural Science Concentration",,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"The admissions decision is based on a holistic review of a complete application. [3] Of primary importance is the student's high school record, including the level and difficulty of the courses taken, the overall grade point average and rank in class. [3] The submission of SAT or ACT scores is optional. [3] Extracurricular involvement, leadership and many other factors are also considered. [3] An official high school transcript must be submitted to complete the application. [5]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,Horticultural Science Concentration,"The Agricultural Education major within the Department of Agricultural and Human Sciences prepares graduates to teach agriculture, serve as FFA advisors, and supervise agricultural experiences (SAE) in public and private schools. [2, 3] The Horticultural Science concentration is one of seven concentrations offered for the Bachelor of Science in Agricultural Education. [2, 3] Students interested in Agricultural Education may be eligible to apply for the North Carolina Teaching Fellows Program at NC State. [2, 3] Many alumni pursue careers in middle and high schools, universities and community colleges, county extension offices, and in the agricultural industry. [2, 5]",,https://catalog.ncsu.edu/,"Completion of the B.S. program in Agricultural Education leads to teacher licensure in North Carolina for grades 6-12. [2, 3] Because of North Carolina's reciprocity agreements, graduates also can pursue certification in about 35 states. [3, 4]",,,FALSE,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Agricultural Education, Natural Resources Concentration",,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"Admission to North Carolina State University is a competitive process that involves a holistic review of a student's application. Key factors in the admission decision include academic achievement in high school, with an emphasis on rigorous coursework and strong grades. Beyond academics, the university also considers a student's interests, experiences, and accomplishments outside of the classroom.",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,"College of Agriculture and Life Sciences. [4, 35]",,,,,,,,Natural Resources Concentration,"The Agricultural Education major within the Department of Agricultural and Human Sciences prepares graduates to teach agriculture, serve as FFA advisors, and supervise agricultural experiences (SAE) in public and private schools. [1, 2] The Natural Resources concentration is one of seven concentrations offered for the Bachelor of Science in Agricultural Education. [1, 2] Many alumni pursue careers in middle and high schools, universities and community colleges, county extension offices, and in the agricultural industry. [1, 3] Completion of the B.S. program in Agricultural Education leads to teacher licensure in North Carolina for grades 6-12. [1, 2]",,https://catalog.ncsu.edu/,,,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,85.0,,,,,,,,,,,,,Merit-based and need-based. [15],FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Agricultural Education, Poultry Science Concentration",,,,,Undergraduate,Fall 2026,,,,,,Not Required,,"First-year applicants must apply online via the Common App or Coalition on Scoir and pay a non-refundable application fee of $85. [4] On the application, students are asked to select up to two majors. [4] NC State considers strong grades in competitive courses (such as honors, AP, IB, or dual enrollment) throughout a student's high school career. [4] To be competitive, applicants should meet the minimum course requirements set by the UNC Board of Governors. [4]",,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,Poultry Science Concentration,"The Agricultural Education major within the Department of Agricultural and Human Sciences prepares graduates to teach agriculture, serve as FFA advisors, and supervise agricultural experiences (SAE) in public and private schools. The Poultry Science concentration is one of seven concentrations offered for the Bachelor of Science in Agricultural Education.",,https://catalog.ncsu.edu/,"Completion of the B.S. program in Agricultural Education leads to teacher licensure in North Carolina for grades 6-12. Because of North Carolina's reciprocity agreements, graduates also can pursue certification in about 35 states. [2, 3]",,,FALSE,False,,4.0,2,,,,,,,,,,,,,,,,,,False,False,,17.0,,,,,,,,,930.0,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Agricultural and Environmental Technology,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,"A comprehensive, narrative description for the Bachelor of Science in Agricultural and Environmental Technology is not available on the North Carolina State University catalog website. The catalog provides a semester-by-semester plan of study and course requirements.",,https://catalog.ncsu.edu/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Agricultural Science,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"For first-year admission, NC State requires the submission of a high school transcript and considers a student's academic performance in 12th grade. The university also looks at an applicant's entire academic record. There are no specific course requirements listed for this program beyond the general university admission requirements. Applicants are encouraged to take a challenging college preparatory curriculum. All first-year applicants must respond to short-answer questions as part of their application.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,"['Animal Science', 'Agricultural Business Management', 'Agricultural Environmental Technology', 'Agroecology', 'Crop Science', 'Food Science', 'Horticultural Science', 'Poultry Science', 'Soil Science', 'Feed Mill Management']","A growing need exists for professionals with extensive knowledge and experience in the agricultural sciences. Students pursuing a Bachelor of Science (B.S.) in Agricultural Science study the dynamic aspects of the food and fiber industry and pursue two agricultural specializations. [4, 9] Students who major in Agricultural Science will: develop skills for working independently and as part of a team, communicate effectively, solve problems, and understand basic business concepts; pursue two of the following specializations: Animal Science, Agricultural Business Management, Agricultural Environmental Technology, Agroecology, Crop Science, Food Science, Horticultural Science, Poultry Science, Soil Science, and Feed Mill Management; succeed as communicators, extension agents, and leaders in the agricultural industry. [4, 6, 9]",,https://catalog.ncsu.edu/,"North Carolina State University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award the associate, baccalaureate, masters and doctorate degrees. [13]",,,FALSE,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,58.0,,80.0,,,,,,,,,,,,,"Merit-based, financial need, academic major and/or outside interests",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Animal Science,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,Required,"To complete your application for first-year admission, you must submit the Common Application form, pay a non-refundable application fee, and self-report your high school transcript using the Courses and Grades section of the Common App.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://catalog.ncsu.edu/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Animal Science,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,,Required,"NC State conducts a holistic review of first-year applicants. The review considers academic achievement (including grades and course curriculum), interest in the selected major(s), accomplishments and involvement outside the classroom, background and opportunities, and the applicant's individual story. [10]",Not Required,,True,False,False,,,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Veterinary Bioscience', 'Science', 'Industry']","The degree of Bachelor of Science in Animal Science may be obtained by selecting one of three concentrations offered by the Department of Animal Science in the College of Agriculture and Life Sciences: Veterinary Bioscience, Science, and Industry. The Veterinary Bioscience concentration is for students who are interested in advanced study in DVM programs and has all of the NC State's veterinary school prerequisite courses built into the concentration. The Science track is designed for students interested in graduate or medical school or careers that require a strong science background. The Industry track prepares students for careers in production animal agriculture and related fields. There are many opportunities to gain undergraduate research experience with an Animal Science faculty member, to participate in one of the animal-related clubs, and to engage globally by participating in one of our Animal Science Study Abroad experiences.",,https://catalog.ncsu.edu/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,54.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Animal Science, Animal/Poultry Industry Concentration",,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,,"For first-year admission, North Carolina State University requires the submission of the Common Application or Coalition Application, a non-refundable application fee, and self-reported high school grades. While not required for admission, students can choose to have their application reviewed with an ACT or SAT score, and they can also submit an optional personal essay and letters of recommendation. Upon enrollment, final official transcripts must be submitted.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,Industry Concentration,"The Industry concentration is designed for studentswho are more interested in the business or production aspects of animal science. It offers flexibility in completing Animal Science courses with business, marketing, economics, and applied science coursework. There are many opportunities to gain undergraduate research experience with an Animal Science faculty member, to participate in one of the animal-related clubs, and to engage globally by participating in one of our Animal Science Study Abroad experiences. [2]",,https://catalog.ncsu.edu/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Animal Science, Pre-Veterinary Medicine Concentration",,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,,"For admission to a bachelor's degree program at NC State, you must complete the high school course requirements as follows: four course units of English, four course units of mathematics (including Algebra I, Geometry, Algebra II, and an advanced math course for which Algebra II is a prerequisite), three course units of science (including a biological science, a physical science, and a laboratory course), two course units of social studies (including one U.S. history unit), and two additional academic course units from English, mathematics, science, social studies, or world languages. A world language is not required for admission but is encouraged.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,Veterinary Bioscience Concentration,"The degree of Bachelor of Science in Animal Science may be obtained by selecting one of three concentrations offered by the Department of Animal Science in the College of Agriculture and Life Sciences: Veterinary Bioscience, Science, and Industry. The Veterinary Bioscience concentration is for students who are interested in advanced study in DVM programs and has all of the NC State's veterinary school prerequisite courses built into the concentration. [1] Students in this concentration must maintain an overall GPA of 3.0 or higher. [1] There are many opportunities to gain undergraduate research experience with an Animal Science faculty member, to participate in one of the animal-related clubs, and to engage globally by participating in one of our Animal Science Study Abroad experiences. [1]",,https://catalog.ncsu.edu/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,17.0,,,,,,,,,930.0,,,,,,,,,,,,,,"Merit-based, Need-based, and major-specific scholarships are available.",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Anthropology,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"To apply as a first-year applicant, students must use either the Common App or the Coalition on Scoir application. There is a non-refundable $85 application fee, with fee waivers available. On the application, students must select a major. NC State's review process is based on academic achievement, interest in the selected major, accomplishments outside the classroom, background, and opportunities. [20, 25] A short answer question explaining the choice of academic program is also required. [20]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,General Anthropology Concentration,"The Bachelor of Arts (B.A.) in Anthropology introduces students to anthropology with offerings in three of the subfields of the discipline: archaeology, biological anthropology, and cultural anthropology. [3, 5] Our program focuses on the interrelationships among the cultural, social, and biological bases of human behavior in evolutionary and contemporary contexts. [3, 5, 12] The degree emphasizes exposure to different cultures through classic ethnography and a better understanding of the past through archaeology and human skeletal analysis. [3, 5, 12]",,https://catalog.ncsu.edu/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,85.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Applied Ecology and Wildlife,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"Application for admission is for first-year students and is program-specific. NC State reviews applicants on a variety of factors, including academic performance, course curriculum, interest in the applied program, background, and extracurricular accomplishments. NC State uses the Common Application, which includes a personal essay. Applicants must also submit high school transcripts.",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Natural Resources,,,,,,,,Wildlife Science,"Fisheries, Wildlife and Conservation Biology (FWCB) major prepares students to manage and conserve a wide variety of animal populations and the habitats they need to survive. This STEM (Science, Technology, Engineering, and Mathematics) major provides students with the skills to observe, research, monitor and assess the impact of environmental change, human behavior and public policy on populations of wild animals. Using a combination of lab work, technology and field studies, students develop conservation strategies that ensure the long-term health of fish and wildlife populations. The Wildlife Science concentration focuses on terrestrial vertebrates. [5]",,https://catalog.ncsu.edu/,Students in the wildlife concentration graduate with the coursework necessary for the Associate Wildlife Biologist Certification from The Wildlife Society. [5],,"In-state: $286.04/credit hour, Out-of-state: $1,235.39/credit hour (Based on 2024-2025 tuition and fees for 1-11 credit hours, subject to change)",FALSE,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,85.0,,,,,,,,,,,,,"Merit-based and need-based scholarships are available, including the Bull Neck Swamp Scholarship and the Felton P. Coley scholarship for students in the Fisheries, Wildlife, and Conservation Biology department. [2]",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Applied Mathematics,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,,"Requirements for first-year admission include the completed Common Application, a non-refundable application fee, and self-reported high school grades via the Common App's Courses and Grades section. An essay is a required part of the Common Application.",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,"['Financial Mathematics', 'Mathematical Foundations of Data Science']","The Bachelor of Science in Applied Mathematics provides a strong foundation in mathematical theory, problem-solving, modeling, and computational methods, preparing students for careers in fields like engineering, finance, biomathematics, and data science. [2] The program emphasizes practical applications and offers flexibility through ""Applied Electives,"" allowing students to tailor their studies to interests in areas such as computer science, economics, physics, or operations research. [2] Many students complement their degree with minors or second majors in related fields to enhance their career opportunities. [2] The primary difference between the B.S. in Applied Mathematics and the B.S. in Mathematics is that the applied mathematics program includes a strong interdisciplinary concentration in a related field, which must be approved by a student's adviser and should be structured to promote specific career or educational objectives. [7, 9, 10]",,https://catalog.ncsu.edu/,"North Carolina State University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award associate, baccalaureate, masters, and doctorate degrees. [12] No specific accreditation for the Bachelor of Science in Applied Mathematics program is mentioned. [12]",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Architecture,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,Students interested in a studio-based major like Architecture must apply by the November 1 Early Action deadline. The application requires the submission of a 10-piece portfolio and a design essay. [3] Applicants can apply through the Common App or Coalition on Scoir and must pay a non-refundable $85 application fee. [3],Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Design,,,,,,,,,,,https://catalog.ncsu.edu/,,,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Art and Design,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,Required,"To be competitive for admission, first-year applicants should at least meet the minimum course requirements (MCR) established by the Board of Governors of the University of North Carolina System. Students interested in a studio-based major (Architecture, Art + Design, Fashion and Textile Design, Graphic & Experience Design, Industrial Design) must apply by the November 1 deadline and submit a 10-piece portfolio and design essay. [4]",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Design,,,,,,,,"['Animation (2D + 3D)', 'Gaming + Interaction Design', 'Fibers + Soft Construction']"," The Department of Media Arts, Design and Technology awards the Bachelor of Art and Design degree. [2] The Bachelor of Art and Design degree is a broadly based, multidisciplinary undergraduate experience that fully utilizes a diverse faculty and bridges media arts, design, and technology. [2] Students work closely with faculty in a well-planned sequence of progressively complex and in-depth studios leading to concentrations in one of three areas: Animation (2D + 3D), Gaming + Interaction Design, or Fibers + Soft Construction. [2] Students are advised through learning paths designed to produce optimal outcomes. [2] This degree program provides a sound, well-rounded visual design education with a focus on providing students skills that allow them to perform and succeed in a wide variety of art and design professions after graduation. [2] Students selecting the Bachelor of Art and Design degree may wish to use it as a foundation for graduate study in a specific art or design discipline. [2] The goal of the curriculum is to provide structure for the creation of a new model of art and design professionals. [2] These individual artistic and practical talents are developed as different expressions of one potentiality. [2] The concentration in Fibers + Soft construction is NOT fashion based. [2] The Department of Media Arts, Design and Technology does NOT have a fashion design program. [2]",,https://catalog.ncsu.edu/,"The specific program page does not mention accreditation. However, North Carolina State University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). [11] The programs within the College of Design are also accredited by the National Association of Schools of Art and Design (NASAD). [12]",,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Art and Design,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,Required,"Applicants for studio-based majors, including Art + Design, must submit a completed Common Application or Coalition Application. A 10-piece portfolio and a design essay are also required. Departmental interviews are by invitation only. [3]",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Animation (2D + 3D)', 'Gaming + Interaction Design', 'Fibers + Soft Construction']","TThe Department sweatshirts Media Arts, Design and Technology awards the Bachelor sweatshirtArt and Design degree. The Bachelor sweatshirtArt and Design degree is a broadly based, multidisciplinary undergraduate experience that fully utilizes a diverse faculty and bridges media arts, design, and technology. Students work closely with faculty in a well-planned sequence sweatshirt progressively complex and in-depth studios leading to concentrations in one sweatshirtthree areas: Animation (2D + 3D), Gaming + Interaction Design, or Fibers + Soft Construction. Students are advised through learning paths designed to produce optimal outcomes. This degree program provides a sound, well-rounded visual design education with a focus on providing students skills that allow them to perform and succeed in a wide variety sweatshirtart and design professions after graduation. Students selecting the Bachelor sweatshirtArt and Design degree may wish to use it as a foundation for graduate study in a specific art or design discipline. The goal sweatshirt the curriculum is to provide structure for the creation sweatshirt a new model sweatshirtart and design professionals. These individual artistic and practical talents are developed as different expressions sweatshirt one potentiality.",,https://catalog.ncsu.edu/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,58.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
