QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,extraction_level,Program name,Program Page url
851.0,Graduate School,,,3.0,98.2,"Fall, Spring, Summer",2024-08-26,2025-08-01,65.0,,,,,Merit-based,30-36 credit hours,,program,Professional Science Master's,https://www.k-state.edu/grad/academics/professional-masters/
,Department of Psychological Sciences,,,3.0,97.6,Fall,2024-08-19,2024-12-01,40.0,,,,,Graduate Assistantship,5 years,,program,Psychology,https://www.k-state.edu/psych/graduate/
801.0,Department of Political Science,,,3.0,98.3,Fall,2024-08-26,2024-08-01,65.0,,,12000.0,79.0,Graduate Teaching Assistantship,42-credit hour,,program,Public Administration,https://www.k-state.edu/polsci/academics/mpa/
,College of Veterinary Medicine and the College of Health and Human Sciences,,4.0,3.0,,"Fall, Spring, Summer",2024-08-19,2024-12-01,65.0,,730.0,,,Merit-based,42 credit hours,30660.0,program,Public Health,https://global.k-state.edu/ag/public-health/
,College of Veterinary Medicine,,,3.0,97.5,"Fall, Spring, Summer",2024-08-19,2024-08-01,65.0,6013.0,635.8,,,Merit-based,15 credit hours,,program,Public Health Core Concepts,https://online.k-state.edu/programs/public-health-core-concepts-certificate/
,Department of Horticulture and Natural Resources,,4.0,3.0,,"Fall, Spring",2024-08-26,Fall: January 8; Spring: August 1,65.0,,,,,Graduate Research Assistantships (GRAs) and Graduate Teaching Assistantships (GTAs),30 semester credit hours,,program,Public Horticulture,https://hnr.k-state.edu/graduate/ms/public_horticulture/
851.0,"College of Architecture, Planning & Design, Department of Landscape Architecture and Regional & Community Planning",,4.0,3.0,96.2,"Fall, Spring",2024-08-26,2025-02-01,65.0,,,2000.0,,"Graduate Assistantship, Scholarship",48 credit hours,,program,Regional and Community Planning,https://apdesign.k-state.edu/larcp/programs/mrcp/
,"Department of Special Education, Counseling, and Student Affairs",,4.0,3.0,97.0,"Summer, Fall",2024-08-26,2024-08-01,65.0,9023.0,565.0,,70.0,"Graduate Assistantship, Scholarship",48 credit hours,27120.0,program,School Counseling,https://coe.k-state.edu/academics/graduate/school-counseling/
851.0,College of Education,,4.0,3.0,97.6,"Fall, Spring, Summer",2024-08-19,,65.0,,605.2,,,"Grant, Merit-based, Need-based",36 credit hours,21787.2,program,Secondary Education,https://coe.k-state.edu/academics/mat/
,"College of Arts and Sciences, Department of Political Science",,,3.0,97.4,"Fall, Spring, Summer",,,65.0,,750.0,,100.0,Graduate Teaching Assistantships,30-credit hour,22500.0,program,Security Studies,https://www.k-state.edu/securitystudies/
,College of Education,,4.0,3.0,97.3,"Fall, Spring, Summer",2024-08-19,YYYY-12-01,65.0,5123.0,580.0,16000.0,,Merit-based,12 credit hours,,program,Social Justice Education,https://online.k-state.edu/programs/social-justice-education-graduate-certificate/
,"College of Health and Human Sciences, Department of Social Work",,,3.0,,Fall,2024-08-26,2024-02-01,65.0,,645.0,,,Graduate Assistantship,Traditional: 60 credit hours; Advanced Standing: 36 credit hours,,program,Social Work,https://hhs.k-state.edu/socialwork/academics/msw/
,"Department of Sociology, Anthropology, and Social Work",,4.0,3.0,97.4,Fall,2024-08-26,2024-12-01,65.0,,,15800.0,100.0,"Graduate Teaching Assistantships, Graduate Research Assistantships",30 credit hour program,,program,Sociology,https://www.k-state.edu/sasw/sociology/grad/
,Department of Computer Science,,4.0,3.0,95.2,"Fall, Spring",2024-08-26,2024-12-01,40.0,,,,,Graduate Teaching Assistantships (GTAs) and Graduate Research Assistantships (GRAs),30-credit-hour,,program,Software Engineering,https://www.cs.k-state.edu/academics/graduate/msse/
,College of Education,,4.0,3.0,97.3,"Fall, Spring, Summer",2024-08-26,,65.0,,640.4,,,Graduate Assistantship,30 credit hours,,program,Special Education,https://coe.k-state.edu/academics/special-education/ms/
,"Department of Statistics, College of Arts and Sciences",2.0,,3.0,96.95,"Fall, Spring",,February 1 for Fall semester; September 1 for Spring semester,65.0,8883.0,,19000.0,100.0,Graduate Teaching Assistantships (GTAs) and Graduate Research Assistantships (GRAs),M.S.: 30 semester hours; Ph.D.: 90 semester hours,,program,Statistics,https://www.k-state.edu/stats/graduate/
,"College of Education, Department of Educational Leadership",,,3.0,95.1,Fall,2024-08-26,,65.0,,,,,Graduate Assistantship,90 credit hours,,program,Student Affairs in Higher Education,https://coe.k-state.edu/academics/departments/educational-leadership/student-affairs/phd-student-affairs.html
,College of Education,,,3.0,97.5,"Summer, Fall, Spring",2024-08-19,2025-02-01,65.0,,,,,College of Education Scholarships,31 credit hours,,program,Teaching,https://coe.k-state.edu/academics/graduate/master-of-arts-in-teaching/
,College of Education,,,3.0,,Fall,,,65.0,,,,,Graduate Assistantship,90 graduate credit hours,,program,Teaching and Learning,https://coe.k-state.edu/academics/graduate/doctor-philosophy-curriculum-instruction/teaching-learning.html
,English Language Program,,4.0,3.0,95.4,"Fall, Spring, Summer",2024-08-26,2024-07-01,65.0,9376.0,480.0,,,Merit-based,15 credit hours,7200.0,program,Teaching English as a Second Language,https://global.k-state.edu/english/tesl/
,"School of Music, Theatre, and Dance",,,3.0,95.1,Fall,2024-08-26,2024-08-01,65.0,,,,100.0,Graduate Teaching Assistantship,30 credits,,program,Theatre,https://www.k-state.edu/mtd/academics/theatre/grad/
,College of Veterinary Medicine,,4.0,3.0,97.5,"Fall, Spring",2024-08-26,2024-08-01,65.0,6581.0,,,,Graduate research assistantships and teaching assistantships,M.S.: Minimum 30 credits; Ph.D.: Minimum 90 credits,,program,Veterinary Biomedical Science,https://www.k-state.edu/grad/academics/programs/ag-and-vetmed/vet-biomedical-sci/
,College of Veterinary Medicine and the College of Arts and Sciences,,,3.0,95.0,"Fall, Spring, Summer",2024-08-26,Fall: August 1; Spring: January 1; Summer: May 1,65.0,,705.0,,,"Merit-based, Need-based",19 credit hours,,program,Veterinary Forensics,https://globalcampus.k-state.edu/courses/veterinary-forensics/
,College of Veterinary Medicine,,4.0,3.0,97.0,"Fall, Spring, Summer",2024-08-19,2024-12-01,65.0,7137.0,666.6,,,Graduate Assistantship,42 credit hours,27997.2,program,Veterinary Public Health,https://www.k-state.edu/mpm/academics/mph/
,College of Health and Human Sciences,,,3.0,97.6,"Fall, Spring, Summer",2024-08-19,2024-12-01,65.0,,631.1,,,"Merit-based, Need-based, Leadership, Talent",36 credit hours,,program,Youth Development,https://online.k-state.edu/programs/youth-development-masters/
,"College of Health and Human Sciences, Youth Development Program",,,3.0,95.1,"Fall, Spring, Summer",,,65.0,,650.0,,,,11-credit hour,,program,Youth Program Development and Evaluation,https://www.hhs.k-state.edu/ythdev/graduate/certificates/youth-program-development-evaluation/
