Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level,level
,"The Cell and Regenerative Biology program offers a Ph.D. in Cell and Regenerative Biology. The research mission of the department is to perform world-class research in cell and developmental biology, to translate these findings to the clinic, and to train the next generation of scientists. Areas of research include cell signaling and communication, cell and tissue development, cancer biology, and regenerative medicine including stem cell biology.",https://guide.wisc.edu/graduate/cell-regenerative-biology/cell-regenerative-biology-phd/,,PhD in Cell and Regenerative Biology,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
Research; Accelerated,The Department of Chemical and Biological Engineering has a long tradition of excellence in research and graduate education. The M.S. degree in Chemical Engineering provides a student with a firm foundation in the physical sciences and engineering and a high degree of proficiency in conducting research and/or specialized coursework. The department offers two options for the M.S. in Chemical Engineering: the Research option and the Accelerated option.,https://guide.wisc.edu/graduate/chemical-biological-engineering/chemical-engineering-ms/,,Master of Science in Chemical Engineering,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
,"The Department of Chemical and Biological Engineering at the University of Wisconsin–Madison has a long tradition of excellence in research and education. Our faculty and students have made major contributions to the chemical engineering profession, as well as to society as a whole. Today, we continue that tradition of innovation and impact, with research programs that are at the forefront of chemical and biological engineering. The graduate program is designed to provide students with a strong foundation in the fundamentals of chemical engineering, as well as the opportunity to conduct original research in a variety of areas. Our graduate students are highly sought after by employers in industry, academia, and government.",https://guide.wisc.edu/graduate/chemical-biological-engineering/chemical-engineering-phd/,,PhD in Chemical Engineering,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,PhD,
Research; Biopharmaceutical Technology,"The Department of Chemistry at UW–Madison is a national leader in chemical education and research. It offers a variety of specialized research programs across the chemical sciences: analytical, chemical biology, inorganic, materials, organic, physical, and theoretical. The department is a collaborative, inclusive, and exciting environment in which students can prepare for a career in academia, industry, or government.",https://guide.wisc.edu/graduate/chemistry/chemistry-ms/,,Master of Science in Chemistry,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
"Analytical, Chemical Biology, Inorganic, Materials, Organic, Physical, Theoretical","The Department of Chemistry at the University of Wisconsin–Madison is one of the largest and most highly ranked chemistry departments in the country. It is part of the College of Letters & Science. The chemistry graduate program offers students a unique and flexible atmosphere for their studies. The department offers a doctor of philosophy (PhD) in chemistry. The PhD program is research-oriented and designed to prepare students for careers in academia, industry, or government. Students in the program have the opportunity to work with world-renowned faculty on cutting-edge research in a wide range of areas, including: Analytical, Chemical Biology, Inorganic, Materials, Organic, Physical, and Theoretical.",https://guide.wisc.edu/graduate/chemistry/chemistry-phd/,,PhD in Chemistry,https://guide.wisc.edu/graduate/chemistry/chemistry-phd/,,
"Construction Engineering and Management, Environmental Science and Engineering, Geological Engineering, Geotechnical Engineering, Pavements and Materials, Structural Engineering, Transportation Engineering, and Water Resources Engineering","The Department of Civil and Environmental Engineering (CEE) at the University of Wisconsin–Madison has an international reputation for excellence in research and education. Our faculty, staff, and students are solving today’s complex problems and preparing for tomorrow’s challenges. Our graduates are leaders in academia, government, and industry. Our facilities include state-of-the-art laboratories and computers, and we are located in the vibrant city of Madison, the state’s capital. The CEE MS degree is an advanced degree for students wanting to specialize in a specific sub-discipline of civil and environmental engineering. The degree is offered for both research-oriented and practice-oriented students.",https://guide.wisc.edu/graduate/civil-environmental-engineering/civil-environmental-engineering-ms/,,Master of Science in Civil and Environmental Engineering,https://guide.wisc.edu/graduate/civil-environmental-engineering/civil-environmental-engineering-ms/civil-environmental-engineering-ms_text.pdf,,
Construction Engineering and Management; Environmental Chemistry and Technology; Environmental Engineering; Geological Engineering; Geotechnical Engineering; Structural Engineering; Transportation Engineering; and Water Resources Engineering,"Civil and environmental engineering includes the planning, design, construction, maintenance, and operation of the infrastructure that surrounds us and underpins our society. This infrastructure includes roads, bridges, and rail and transit systems; airports and ports; water supply and wastewater treatment systems; power generation and distribution facilities; and buildings of all types. In addition to these traditional areas, civil and environmental engineers are increasingly involved in the management of our natural environment and the development of sustainable technologies. The Department of Civil and Environmental Engineering offers master of science (M.S.) and doctor of philosophy (Ph.D.) degrees in civil and environmental engineering. Our faculty conduct research in several broad areas: Construction Engineering and Management; Environmental Engineering; Geological Engineering; Geotechnical Engineering; Structural Engineering; Transportation Engineering; and Water Resources Engineering.",https://guide.wisc.edu/graduate/civil-environmental-engineering/civil-environmental-engineering-phd/,,PhD in Civil and Environmental Engineering,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,PhD,
"Classics, Hebrew Bible","The Department of Classical and Ancient Near Eastern Studies (CANES) offers a master of arts and a doctor of philosophy in classical and ancient Near Eastern studies. In the classical and ancient Near Eastern studies MA and PhD, students can choose between two named options: Classics or Hebrew Bible. Students in the classics named option can focus on either classical languages and literatures or classical humanities. Students in the Hebrew Bible named option focus on the language, literature, and history of the Hebrew Bible in its ancient Near Eastern context.",https://guide.wisc.edu/graduate/classical-ancient-near-eastern-studies/classical-ancient-near-eastern-studies-ma/,,Master of Arts in Classical and Ancient Near Eastern Studies,https://guide.wisc.edu/graduate/classical-ancient-near-eastern-studies/classical-ancient-near-eastern-studies-ma/classical-ancient-near-eastern-studies-ma_requirementstext.pdf,,
Classics; Hebrew Bible,"The graduate program in the Department of Classical and Ancient Near Eastern Studies (CANES) at UW–Madison offers the master of arts and doctor of philosophy in classical and ancient Near Eastern studies. The department offers two options: Classics and Hebrew Bible. Our program is designed to provide students with a strong foundation in the languages, literatures, and cultures of the ancient Mediterranean and Near East. Our faculty are experts in a wide range of fields, including archaeology, history, linguistics, philosophy, and religion. Students have the opportunity to work closely with faculty on research projects and to participate in a variety of departmental activities, including colloquia, workshops, and social events. We are committed to providing our students with a supportive and inclusive environment in which to pursue their graduate studies.",https://guide.wisc.edu/graduate/classical-ancient-near-eastern-studies/classical-ancient-near-eastern-studies-phd/,,PhD in Classical and Ancient Near Eastern Studies,https://guide.wisc.edu/graduate/classical-ancient-near-eastern-studies/,,
"Communication Science; Film; Media and Cultural Studies; Rhetoric, Politics, and Culture","The graduate program in communication arts provides students with a broad-based knowledge of the field of communication, as well as specialized training in one of four areas of study: Communication Science; Film; Media and Cultural Studies; and Rhetoric, Politics, and Culture. The department is known for its pioneering role in the development of the field, and its graduate program is consistently ranked among the best in the nation. The program offers the master of arts and doctor of philosophy degrees in communication arts. The M.A. degree is usually taken as the first step toward the Ph.D.",https://guide.wisc.edu/graduate/communication-arts/communication-arts-ma/,,Master of Arts in Communication Arts,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,MA,
"Communication Science; Film; Media and Cultural Studies; Rhetoric, Politics, and Culture","The Ph.D. is a research degree. It is awarded to students who have demonstrated (1) a comprehensive understanding of a specific body of knowledge, (2) the ability to conceptualize a significant research problem, and (3) the ability to design and execute a project that makes a substantive contribution to the field of knowledge.",https://commarts.wisc.edu/graduate/graduate-handbook/doctoral-degree-requirements/,,PhD in Communication Arts,https://commarts.wisc.edu/graduate/graduate-handbook/doctoral-degree-requirements/,,
"Specialized Clinical, Normal Processes, Professional, and Research","The Department of Communication Sciences and Disorders offers the Master of Science (M.S.) degree in Communication Sciences and Disorders. This degree includes four named options: Specialized Clinical, Normal Processes, Professional, and Research. The specialized clinical and professional options are for students who want to become certified speech-language pathologists. These options are accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology (CAA) of the American Speech-Language-Hearing Association. Students who complete the requirements of these tracks are prepared for the American Speech-Language-Hearing Association's (ASHA) Certificate of Clinical Competence in Speech-Language Pathology. Students in these tracks should also check requirements for Wisconsin Department of Public Instruction licensure and Wisconsin Department of Safety and Professional Services licensure. Students who choose the research or normal processes option are interested in the study of communication and its disorders but are not interested in clinical practice. These options do not lead to clinical certification.",https://guide.wisc.edu/graduate/communication-sciences-disorders/communication-sciences-disorders-ms/,The Master of Science (M.S.) education program in speech-language pathology (residential) at the University of Wisconsin-Madison is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology (CAA) of the American Speech-Language-Hearing Association.,Master of Science in Communication Sciences and Disorders,https://www.proquest.com/openview/ea3b4a8c8636223fd27c4c74bde0e709/1?pq-origsite=gscholar&cbl=18750&diss=y,,
,"The Ph.D. in Communication Sciences and Disorders provides a broad-based foundation in communication sciences and disorders, as well as more specialized knowledge in the student's area of research interest. Students work closely with a faculty mentor to develop a program of study and a research focus that is tailored to their specific interests and needs. The Ph.D. program is designed to prepare students for careers in research and teaching.",https://guide.wisc.edu/graduate/communication-sciences-disorders/communication-sciences-disorders-phd/,,PhD in Communication Sciences and Disorders,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,Doctoral,
,"The clinical doctorate (Au.D.) program is a four-year professional degree program. The program is designed to provide students with a solid foundation in the scientific and clinical aspects of audiology, and to prepare them to provide evidence-based clinical services to individuals with hearing and balance disorders across the lifespan. The program’s first three years consist of didactic coursework, clinical practicum, and a capstone project. The fourth year consists of a full-time clinical externship.",https://guide.wisc.edu/graduate/communication-sciences-disorders/communication-sciences-disorders-aud/,"The Doctor of Audiology (Au.D.) education program in audiology at the University of Wisconsin–Madison is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology of the American Speech-Language-Hearing Association, 2200 Research Boulevard, #310, Rockville, MD 20850, 800-498-2071 or 301-296-5700.",Doctor of Audiology in Communication Sciences and Disorders,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
,"The Comparative Biomedical Sciences (CBMS) graduate program is administered by the School of Veterinary Medicine. The program provides advanced theoretical and practical training in research that leads to the master of science and doctor of philosophy degrees. The program is designed to prepare students for a career in research and/or teaching in academia, industry, or government. The program offers a core of required courses and a large variety of electives to meet the needs of each student's specific research area. Areas of research focus include Immunology, Molecular and Cellular Biology, Physiology, Infectious Disease, Neurobiology, Oncology, Genetics, and Toxicology.",https://guide.wisc.edu/graduate/comparative-biomedical-sciences/comparative-biomedical-sciences-ms/,,Master of Science in Comparative Biomedical Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,Masters,
"Immunology, Molecular and Cellular Biology, Infectious Diseases, Internal Medicine, Oncology, and Pathology","The Comparative Biomedical Sciences (CBMS) graduate program is an interdisciplinary program housed in the School of Veterinary Medicine. The program provides training in basic and applied sciences and offers the master of science and doctor of philosophy degrees. The goal of the program is to prepare students for careers in research, teaching, and/or service in academic, government, or industrial settings. The program offers six major areas of emphasis: Immunology, Molecular and Cellular Biology, Infectious Diseases, Internal Medicine, Oncology, and Pathology. The program is administered through the School of Veterinary Medicine and is supported by faculty from the School of Veterinary Medicine and several other departments on the UW–Madison campus.",https://guide.wisc.edu/graduate/comparative-biomedical-sciences/comparative-biomedical-sciences-phd/,,PhD in Comparative Biomedical Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
Comparative Literature; Folklore Studies,"The Department of German, Nordic, and Slavic+ offers the M.A. and Ph.D. degrees in Comparative Literature and Folklore Studies. Both the comparative literature and the folklore studies programs are interdisciplinary in their orientation. In consultation with their advisors, students are encouraged to take courses in other departments and programs.",https://guide.wisc.edu/graduate/german-nordic-slavic/comparative-literature-folklore-studies-ma/,,Master of Arts in Comparative Literature and Folklore Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
Comparative Literature; Folklore Studies,"The Department of Comparative Literature and Folklore Studies at the University of Wisconsin–Madison is home to one of the oldest and most distinguished graduate programs in the country. Our program is uniquely interdisciplinary, offering students the opportunity to pursue advanced research in a wide range of literary and cultural traditions. Students may choose to focus their studies in one of two main areas: Comparative Literature or Folklore Studies. Comparative Literature focuses on the study of literature across linguistic, national, and disciplinary boundaries, while Folklore Studies explores the diverse ways in which communities create, perform, and transmit cultural knowledge and identity through traditional forms of expression. Our faculty and students work across a variety of languages, media, and periods, and our program is committed to a global and inclusive approach to the study of culture. We offer a rigorous and flexible curriculum that prepares students for careers in academia as well as in a variety of other fields, including public humanities, cultural heritage management, and international education.",https://guide.wisc.edu/graduate/comparative-literature-folklore-studies/comparative-literature-folklore-studies-phd/,,PhD in Comparative Literature and Folklore Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,PhD,
,The Department of Computer Sciences offers the Master of Science (MS) and Doctor of Philosophy (PhD) degrees in Computer Sciences. The MS program is designed for students interested in careers in industry or as preparation for further graduate study. It is a traditional research-oriented program. Most students take two years to complete the degree requirements.,https://www.cs.wisc.edu/graduate-programs/master-of-science-in-computer-sciences/,,Master of Science in Computer Sciences,https://www.cs.wisc.edu/graduate-handbook/,,
,"The Professional Master’s Program (PMP) in Computer Sciences is designed for individuals who want to enhance their professional careers with a master’s degree in computer sciences while staying in the workforce. Students in the program develop advanced technical skills through rigorous coursework while enjoying flexibility in choosing a set of courses that best fits their interests and goals. This program is specifically designed to provide students with the opportunity to update their knowledge and gain new skills, preparing them for leadership roles in industry.",https://pdc.wisc.edu/degrees/computer-sciences-ms/,,Master of Science in Computer Sciences: Professional Program,https://pdc.wisc.edu/contact-us/,Masters,
,"The Department of Computer Sciences offers a research-oriented Master of Science (M.S.) in Computer Sciences. This program is for students who want to develop their knowledge of computer science and their research skills. The program is designed to be completed in two years. Most students in this program are supported by research or teaching assistantships. The Computer Sciences Department is one of the oldest and top-ranked computer sciences departments in the world. It is a world-class center for research in many areas, including: Computer architecture, Database systems, Distributed systems and networking, Graphics and vision, Human–computer interaction, Optimization, Operating systems, Programming languages and compilers, Security and privacy, Software engineering, Theory of computing.",https://guide.wisc.edu/graduate/computer-sciences/computer-sciences-ms/,,Master of Science in Computer Sciences: Research,https://guide.wisc.edu/graduate/computer-sciences/computer-sciences-ms/computer-sciences-ms.pdf,,
,"The Department of Computer Sciences at UW–Madison is a world-renowned center for computer science research and education. Our faculty and students work in diverse areas of computer science including computer architecture, database systems, distributed and parallel systems, operating systems, programming languages and compilers, software engineering, and computer security. We also have significant research efforts in artificial intelligence, including machine learning, computer vision, and robotics; computer graphics and human-computer interaction; and theory, including algorithms, complexity, and logic. Our PhD program prepares students for careers in academia, industry, and government research laboratories.",https://guide.wisc.edu/graduate/computer-sciences/computer-sciences-phd/,,PhD in Computer Sciences,https://guide.wisc.edu/graduate/computer-sciences/computer-sciences-phd/,,
Clinical Mental Health Counseling; School Counseling,The Department of Counseling Psychology offers a Master of Science (M.S.) degree in Counseling. The Master’s program offers two concentrations: Clinical Mental Health Counseling (60 credits) and School Counseling (60 credits). The program is designed to prepare students for professional careers in these areas. The Clinical Mental Health Counseling concentration prepares students to work as professional counselors in a variety of community and mental health settings. The School Counseling concentration prepares students to work as professional school counselors in K–12 settings. Both concentrations are accredited by the Council for Accreditation of Counseling and Related Educational Programs (CACREP). Completion of either concentration provides the necessary coursework for the initial level of professional counselor licensure in Wisconsin (Professional Counselor Trainee/LPC-IT).,https://guide.wisc.edu/graduate/counseling-psychology/counseling-ms/,The Master of Science degree in Counseling is accredited by the Council for Accreditation of Counseling and Related Educational Programs (CACREP).,Master of Science in Counseling,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
,"The Ph.D. program in counseling psychology at the University of Wisconsin–Madison is accredited by the American Psychological Association (APA). Our scientist-practitioner-based program is designed to prepare counseling psychologists who are well-grounded in psychological research and theory and who can apply this knowledge in clinical, research, and teaching settings. We aim to train psychologists who can think critically about research and practice, who are committed to social justice, and who can work effectively with diverse populations.",https://guide.wisc.edu/graduate/counseling-psychology/counseling-psychology-phd/,Accredited by the American Psychological Association (APA),PhD in Counseling Psychology,https://guide.wisc.edu/graduate/counseling-psychology/counseling-psychology-phd/counseling-psychology-phd_admissionstext.pdf,,
Poetry; Fiction,"The creative writing program at the University of Wisconsin–Madison is a studio-academic program that emphasizes both the practice of writing and the study of literature. Students complete the degree in two years of residency. The program is intentionally small, admitting only twelve students each year—six in poetry and six in fiction. In addition to a very high level of artistic achievement, students are expected to show academic excellence. The MFA program's course of study is rigorous, including intensive writing workshops, creative writing pedagogy, and graduate-level courses in English and/or American literature. Students must also complete a creative thesis. To ensure that students receive a broad range of training in the field, students take courses from a variety of permanent and visiting faculty. All students are fully funded for both years of the program.",https://creativewriting.wisc.edu/,,Master of Fine Arts in Creative Writing,https://guide.wisc.edu/graduate/english/creative-writing-mfa/,,
Secondary Science Education,"The UW–Madison Master of Science in Curriculum and Instruction: Secondary Science Education is a 13-month program that leads to a Master of Science degree and Wisconsin certification to teach science in grades 4–12. Our program is for students who have an undergraduate degree in a science field (biology, chemistry, physics, etc.) and wish to become middle or high school science teachers. The program starts in mid-June and ends the following July. Our cohort-based program emphasizes teaching for social justice. It is designed around the idea that students best learn science by doing science. Our university-based courses are coordinated with field experiences (practicum and student teaching) in local middle and high schools. Students will be eligible for a Wisconsin science teaching license (grades 4–12) upon successful completion of the program. Because this program is for initial teacher certification, it is not intended for students who already hold a teaching license.",https://guide.wisc.edu/graduate/curriculum-instruction/curriculum-instruction-ms/curriculum-instruction-secondary-science-education-ms/,,Master of Science in Curriculum and Instruction,https://guide.wisc.edu/graduate/curriculum-instruction/curriculum-instruction-ms/curriculum-instruction-secondary-science-education-ms/,,
Curriculum Theory and Research; Digital Media; Disability Studies; Early Childhood Education; English Education; Literacy Studies; Mathematics Education; Multicultural Education; Science Education; Social Studies Education; Teacher Education; World Language Education,"The Department of Curriculum and Instruction is a community of scholars who value a diversity of thought and share a commitment to educational equity. The department’s graduate programs provide students with the opportunity to study with world-class faculty in a variety of areas of specialization. The Ph.D. program is a research-oriented program that prepares students for careers in research and teaching in higher education, as well as for leadership roles in educational organizations. The program is designed to provide students with a broad understanding of the field of curriculum and instruction, as well as deep expertise in a specific area of study.",https://guide.wisc.edu/graduate/curriculum-instruction/curriculum-instruction-phd/,,PhD in Curriculum and Instruction,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,PhD,
,"The University of Wisconsin–Madison Master of Science in Design + Innovation (MDI) is a 12-month, interdisciplinary master’s program. The MDI degree program provides students with a foundational understanding of design thinking and the skills to lead innovation in a variety of industries. Students learn to navigate the complete product development lifecycle, from empathy and ideation to prototyping and market strategy. The program is a collaborative effort between five UW–Madison schools and colleges: College of Engineering, School of Business, School of Human Ecology, Information School, and School of Education (Art Department).",https://mdi.wisc.edu/,,Master of Science in Design + Innovation,https://www.youtube.com/@uw_mdi/videos,,
"Graduate Foundations, Graduate Data Analysis","The Master of Science in Economics at the University of Wisconsin–Madison is a high-quality, mathematically rigorous program. This MS program is designed to be a terminal degree for students who are planning to enter the workforce after graduation or who are interested in pursuing a doctoral degree in economics or a related field. The MS program offers two named options: Graduate Foundations and Graduate Data Analysis. Both options require 30 credits of graduate-level coursework and can be completed in as little as one year. The Graduate Foundations option is designed for students who want to prepare for a PhD in economics or a related field, while the Graduate Data Analysis option is designed for students who want to develop the analytical and quantitative skills needed for careers in data analysis and policy research.",https://guide.wisc.edu/graduate/economics/economics-ms/,,Master of Science in Economics,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
"Econometrics, Industrial Organization, International Economics, Labor Economics, Macroeconomics, Microeconomic Theory, Public Economics","The PhD program in economics at UW–Madison is one of the top programs in the country. Our program provides students with a solid foundation in economic theory and econometrics and allows them to specialize in a wide variety of fields. Students in the program have the opportunity to work with world-class faculty on cutting-edge research. The PhD program is designed to prepare students for careers in research and teaching in academia, as well as for research positions in government and the private sector.",https://guide.wisc.edu/graduate/economics/economics-phd/,,PhD in Economics,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
"Global Higher Education, Higher Education, K-12 Leadership","The Department of Educational Leadership and Policy Analysis (ELPA) offers several Master of Science degrees. These programs are designed for individuals who are interested in leadership and policy positions in K-12 and postsecondary education. The department's mission is to create, share, and apply knowledge of leadership, organizations, and policy to prevent and solve problems in education. Our department is committed to the development of professionals who are capable of leading educational organizations toward the goal of providing high-quality educational experiences for all learners. ELPA is home to a world-class faculty and a diverse and talented student body. Our faculty are leading scholars in their fields and are committed to teaching and mentoring students. Our students come from all over the world and bring a wide range of educational and professional backgrounds to the department.",https://guide.wisc.edu/graduate/educational-leadership-policy-analysis/educational-leadership-policy-analysis-ms/,,Master of Science in Educational Leadership and Policy Analysis,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
Higher Education; K–12 Leadership; Policy Analysis and Evaluation,The Ph.D. program is designed to provide students with the knowledge and skills necessary to conduct high-quality research on educational leadership and policy issues. Students work with faculty members to develop a program of study that meets their individual needs and interests. The program emphasizes the application of social science theories and research methods to the study of educational organizations and policy.,https://guide.wisc.edu/graduate/educational-leadership-policy-analysis/educational-leadership-policy-analysis-phd/,,PhD in Educational Leadership and Policy Analysis,https://guide.wisc.edu/graduate/graduate.pdf,,
"Comparative and International Education, History of Education, Philosophy of Education, Sociology of Education, and Anthropology of Education","Educational Policy Studies offers a master of arts (MA) and a doctor of philosophy (PhD) degree. These degrees are research-oriented and involve the application of several different disciplines to the study of education in both domestic and international contexts. The department's focus is on the social and historical foundations of education and the analysis of educational policy and practice from a variety of disciplinary perspectives, including anthropology, history, philosophy, and sociology. The programs are designed to provide students with a deep understanding of the social, political, and economic contexts of education and to equip them with the research skills necessary to conduct high-quality research on educational policy and practice.",https://guide.wisc.edu/graduate/educational-policy-studies/educational-policy-studies-ma/,,Master of Arts in Educational Policy Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
Anthropology and Education; Comparative and International Education; History of Education; Philosophy of Education; Sociology of Education,"The Ph.D. in Educational Policy Studies provides students with a multidisciplinary perspective on the study of educational policy and practice. The department is a community of scholars representing various disciplines—anthropology, history, philosophy, and sociology—whose common interest is the study of educational policy and practice in the United States and other countries. The department offers a Ph.D. in Educational Policy Studies with five possible concentrations: Anthropology and Education, Comparative and International Education, History of Education, Philosophy of Education, and Sociology of Education.",https://guide.wisc.edu/graduate/educational-policy-studies/educational-policy-studies-phd/,,PhD in Educational Policy Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,PhD,
"Human Development, Learning Sciences, Professional Educator, Quantitative Methods, School Psychology","The Department of Educational Psychology consistently ranks as one of the top programs of its kind in the country. Students in this department may focus their studies in one of four areas: human development, learning sciences, quantitative methods, or school psychology. The department also offers an online Master of Science degree (Professional Educator named option) for practicing educators through the Master of Science for Professional Educators (MSPE) program. Research is a major focus of the department. Faculty and students engage in the study of a wide range of topics, including individual differences in learning and development, the psychological processes involved in reading and mathematics, the social and emotional development of children and adolescents, the evaluation of educational programs, and the application of statistical methods to educational data.",https://guide.wisc.edu/graduate/educational-psychology/educational-psychology-ms/,,Master of Science in Educational Psychology,https://guide.wisc.edu/graduate/educational-psychology/educational-psychology-ms/educational-psychology-ms_requirementstext.pdf,,
"Human Development, Learning Sciences, Quantitative Methods, School Psychology","The Department of Educational Psychology is consistently ranked one of the top departments of its kind in the nation. The department is organized into four areas of study: human development, learning sciences, quantitative methods, and school psychology. Programs of study leading to the master of science and the doctor of philosophy degrees are offered in each of these areas. All students follow a program of study that includes a core of courses in their area, as well as a selection of courses in research methods and other areas of the department. PhD students also complete a doctoral minor or graduate-level breadth requirement. The department also participates in the doctoral program in interdisciplinary training in the learning sciences and the interdisciplinary master's program in prevention science.",https://edpsych.education.wisc.edu/,The School Psychology program is accredited by the American Psychological Association (APA) and is approved by the National Association of School Psychologists (NASP).,PhD in Educational Psychology,https://guide.wisc.edu/graduate/educational-psychology/educational-psychology.pdf,,
"Research, Professional","The Department of Electrical and Computer Engineering offers a Master of Science in Electrical and Computer Engineering. Students in the M.S. program have the choice of two named options: Research or Professional. The M.S. Research named option is intended for students who wish to gain more research experience, perhaps as a prelude to a Ph.D. The M.S. Professional named option is an accelerated program for students who wish to enter the workforce with an advanced degree, focusing on the development of technical skills and knowledge that can be immediately applied in industry.",https://guide.wisc.edu/graduate/electrical-computer-engineering/electrical-computer-engineering-ms/,,Master of Science in Electrical and Computer Engineering,https://guide.wisc.edu/graduate/electrical-computer-engineering/electrical-computer-engineering-ms/electrical-computer-engineering-ms_requirementstext.pdf,,
,The Department of Electrical and Computer Engineering (ECE) offers a PhD in electrical and computer engineering. The program provides students with an opportunity to pursue advanced study and research in a variety of areas. The PhD degree is the highest degree awarded by the university and is intended for students who have demonstrated the ability to conduct independent research and who wish to pursue a career in research and/or teaching.,https://guide.wisc.edu/graduate/electrical-computer-engineering/electrical-computer-engineering-phd/,,PhD in Electrical and Computer Engineering,https://guide.wisc.edu/graduate/graduate.pdf,PhD,
Aerospace Engineering,"Aerospace engineering is a specialized field of engineering that focuses on the design, development, and production of aircraft, spacecraft, and related systems. The M.S. in engineering mechanics with a named option in aerospace engineering provides students with a comprehensive understanding of the principles of aerospace engineering, including aerodynamics, propulsion, structures, and materials. Students in this program will learn to apply these principles to solve complex problems related to the design and performance of aerospace systems. 

The master of science (M.S.) in engineering mechanics (EM) provides students with a solid foundation in the principles of mechanics, including the study of forces and their effects on matter. Students in this program will learn to apply these principles to solve complex engineering problems, with a focus on areas such as solid mechanics, fluid mechanics, and dynamics. The program offers a range of courses in both theoretical and applied mechanics, as well as opportunities for research and professional development. Graduates of the program will be well-prepared for careers in a variety of industries, including aerospace, automotive, energy, and manufacturing, as well as for further study in doctoral programs. The Department of Mechanical Engineering offers two master of science degrees: the M.S. in mechanical engineering and the M.S. in engineering mechanics.",https://guide.wisc.edu/graduate/mechanical-engineering/engineering-mechanics-ms/engineering-mechanics-aerospace-engineering-ms/,,Master of Science in Engineering Mechanics,https://guide.wisc.edu/graduate/mechanical-engineering/engineering-mechanics-ms/engineering-mechanics-aerospace-engineering-ms/,,
,"The Engineering Mechanics (EM) program at the University of Wisconsin–Madison provides a holistic approach to graduate study. It allows students to focus on their research early in the program, while offering a wide range of courses in EM and related fields like physics, mathematics, and other engineering disciplines. The program provides a strong foundation in the fundamentals of mechanics, while also providing flexibility to tailor the program to a student’s interests. Students in the program have access to state-of-the-art research facilities and work with faculty members who are world-renowned in their fields. The program prepares students for careers in academia, industry, and government research laboratories.",https://guide.wisc.edu/graduate/engineering-physics/engineering-mechanics-phd/,,PhD in Engineering Mechanics,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,PhD,
Literary Studies; Composition and Rhetoric,"The Department of English offers graduate programs in literary studies and in composition and rhetoric leading to the Master of Arts and the Doctor of Philosophy. The master of arts degree is intended to provide a broad foundation in English and American literature and/or in composition and rhetoric for students who may then choose to continue to the Ph.D. In addition to work in the classroom, the English department also sponsors numerous lectures and several colloquia by its own faculty and students and by distinguished visitors. The Department of English provides an environment in which graduate students can further their knowledge of English and American literature and/or composition and rhetoric. Students are expected to demonstrate their capacity for independent work, for research, and for critical or historical analysis.",https://guide.wisc.edu/graduate/english/english-ma/,,Master of Arts in English,https://guide.wisc.edu/graduate/english/english.pdf,,
"Literary Studies, Composition & Rhetoric","The PhD program in English offers concentrations in Literary Studies and Composition & Rhetoric. The program provides students with the opportunity to pursue advanced study in English literature, American literature, and composition and rhetoric, leading to the PhD degree. The doctoral program prepares students for careers in research and teaching at the college and university level. Students work closely with faculty mentors to develop specialized knowledge in their chosen field while gaining a broad foundation in English studies.",https://guide.wisc.edu/graduate/english/english-phd/,,PhD in English,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
