QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url,Fees
,,,,,,,,,,,,,,,,Immunology and Infectious Disease (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Industrial and Labor Relations (M.I.L.R.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Industrial and Labor Relations (M.P.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Industrial and Labor Relations (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Industrial and Labor Relations (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Information Science (M.P.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Information Science (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Information Science (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Integrative Plant Science (M.P.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Landscape Architecture (M.L.A.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Landscape Architecture (M.P.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Landscape Architecture (M.R.P./M.L.A. (dual degree)),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Latin American Studies (minor),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Law (J.S.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Linguistics (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Materials Science and Engineering (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Materials Science and Engineering (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Mathematics (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Mechanical Engineering (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Mechanical Engineering (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Medieval Studies (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Microbiology (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Microbiology (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Molecular and Integrative Physiology (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Molecular and Integrative Physiology (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Music (D.M.A.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Music (M.F.A.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Music (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Natural Resources (M.P.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Natural Resources (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Natural Resources (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Near Eastern Studies (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Neurobiology and Behavior (M.S.),https://cals.cornell.edu/education/degrees-programs/graduate-field-of-neurobiology-behavior,
,,,,,,,,,,,,,,,,Neurobiology and Behavior (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Nutritional Sciences (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Nutritional Sciences (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Operations Research and Information Engineering (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Operations Research and Information Engineering (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Performing and Media Arts (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Pharmacology (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Pharmacology (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Philosophy (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Physics (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Physics (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Plant Biology (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Plant Biology (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Plant Breeding (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Plant Breeding (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Plant Pathology and Plant-Microbe Biology (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Plant Pathology and Plant-Microbe Biology (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Policy Analysis and Management (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Policy Analysis and Management (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Psychology (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Public Health (M.P.H.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Public Policy (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Public Policy (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Real Estate (M.P.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Regional Science (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Regional Science (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Religious Studies (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Romance Studies (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Science and Technology Studies (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Sociology (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Soil and Crop Sciences (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Soil and Crop Sciences (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Statistics (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Statistics (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Systems Engineering (M.Eng.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Systems Engineering (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Theoretical and Applied Mechanics (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Theoretical and Applied Mechanics (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Veterinary Medical Sciences (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Veterinary Medical Sciences (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Zoology and Wildlife Conservation (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,,,,,,,,,,,,,,,,Zoology and Wildlife Conservation (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
